n przestawienia_insort porównania_insort
50 675 676
100 2418 2416
150 5751 5749
200 10430 10431
250 15539 15538
300 23459 23460
350 30780 30778
400 39418 39417
450 50597 50592
500 63351 63356
550 72961 72961
600 91682 91684
650 105102 105106
700 125176 125175
750 136030 136030
800 163918 163921
850 175806 175811
900 196049 196061
950 229013 229010
1000 255880 255883
