n przestawienia_dpqs porównania_dpqs
50 99 1225
100 198 4950
150 299 11175
200 398 19900
250 499 31125
300 598 44850
350 699 61075
400 798 79800
450 899 101025
500 998 124750
550 1099 150975
600 1198 179700
650 1299 210925
700 1398 244650
750 1499 280875
800 1598 319600
850 1699 360825
900 1798 404550
950 1899 450775
1000 1998 499500
