n przestawienia_merge porównania_merge
50 168 220
100 393 537
150 634 896
200 893 1285
250 1130 1685
300 1422 2104
350 1691 2523
400 1987 2947
450 2277 3408
500 2528 3877
550 2808 4337
600 3063 4810
650 3427 5250
700 3735 5742
750 4077 6190
800 4325 6729
850 4657 7192
900 4983 7697
950 5279 8188
1000 5572 8722
