n przestawienia_merge porównania_merge
50 175 221
50 174 219
50 170 226
50 165 223
50 165 221
50 172 215
50 171 219
50 186 211
50 174 217
50 166 224
50 168 219
50 162 224
50 171 226
50 171 221
50 175 221
50 174 223
50 171 220
50 171 221
50 175 224
50 177 223
100 395 536
100 391 535
100 386 554
100 375 552
100 393 531
100 392 540
100 370 554
100 393 551
100 397 534
100 398 534
100 399 542
100 385 540
100 394 542
100 393 543
100 402 533
100 394 545
100 394 543
100 396 540
100 387 544
100 396 544
150 610 893
150 618 904
150 636 899
150 630 896
150 620 898
150 617 911
150 625 903
150 635 908
150 621 912
150 629 896
150 623 907
150 632 902
150 630 900
150 639 900
150 642 892
150 622 898
150 641 890
150 621 896
150 623 901
150 626 898
200 873 1282
200 889 1282
200 874 1299
200 876 1294
200 897 1274
200 914 1270
200 894 1280
200 881 1280
200 877 1292
200 879 1283
200 896 1275
200 882 1294
200 878 1276
200 881 1287
200 858 1301
200 886 1275
200 877 1287
200 884 1280
200 887 1284
200 902 1270
250 1134 1672
250 1162 1686
250 1165 1667
250 1147 1676
250 1135 1686
250 1163 1670
250 1150 1677
250 1147 1664
250 1171 1674
250 1133 1692
250 1143 1684
250 1158 1682
250 1136 1667
250 1130 1663
250 1133 1676
250 1132 1681
250 1135 1682
250 1142 1679
250 1156 1679
250 1132 1678
300 1399 2102
300 1387 2099
300 1389 2108
300 1416 2073
300 1396 2095
300 1409 2088
300 1400 2099
300 1389 2085
300 1389 2095
300 1423 2106
300 1373 2106
300 1401 2099
300 1406 2108
300 1410 2092
300 1408 2099
300 1408 2093
300 1399 2105
300 1401 2079
300 1385 2119
300 1393 2095
350 1695 2511
350 1677 2529
350 1688 2520
350 1694 2537
350 1666 2540
350 1694 2517
350 1673 2527
350 1687 2506
350 1705 2525
350 1668 2532
350 1665 2538
350 1704 2523
350 1675 2532
350 1686 2527
350 1678 2543
350 1707 2519
350 1675 2528
350 1694 2516
350 1673 2530
350 1677 2530
400 1975 2964
400 1961 2971
400 1944 2979
400 1949 2988
400 1977 2955
400 1967 2947
400 1950 2970
400 1979 2960
400 1966 2966
400 1972 2978
400 1952 2975
400 1960 2981
400 1960 2969
400 1971 2945
400 1978 2953
400 1944 2982
400 1978 2961
400 1984 2950
400 1920 2965
400 1975 2957
450 2252 3403
450 2229 3416
450 2267 3393
450 2233 3416
450 2283 3377
450 2235 3397
450 2210 3410
450 2264 3423
450 2221 3420
450 2224 3410
450 2248 3407
450 2253 3424
450 2240 3410
450 2255 3422
450 2230 3428
450 2235 3415
450 2265 3401
450 2225 3420
450 2244 3405
450 2297 3402
500 2539 3870
500 2525 3863
500 2535 3847
500 2539 3848
500 2522 3858
500 2539 3872
500 2537 3861
500 2538 3837
500 2518 3847
500 2585 3865
500 2571 3847
500 2531 3866
500 2522 3864
500 2560 3851
500 2526 3858
500 2512 3865
500 2519 3859
500 2522 3871
500 2536 3861
500 2534 3848
550 2813 4341
550 2851 4333
550 2808 4338
550 2802 4308
550 2818 4310
550 2816 4301
550 2796 4362
550 2818 4331
550 2800 4319
550 2837 4321
550 2817 4294
550 2834 4314
550 2820 4322
550 2839 4326
550 2829 4309
550 2828 4287
550 2820 4338
550 2826 4306
550 2833 4304
550 2838 4319
600 3085 4800
600 3131 4791
600 3136 4788
600 3062 4820
600 3122 4786
600 3094 4788
600 3103 4803
600 3159 4783
600 3108 4820
600 3110 4778
600 3108 4781
600 3088 4811
600 3096 4800
600 3142 4795
600 3086 4800
600 3117 4801
600 3109 4803
600 3094 4792
600 3075 4811
600 3140 4783
650 3436 5256
650 3401 5267
650 3454 5255
650 3440 5275
650 3430 5283
650 3404 5282
650 3413 5268
650 3402 5269
650 3396 5259
650 3408 5270
650 3429 5245
650 3433 5281
650 3423 5269
650 3441 5257
650 3436 5265
650 3404 5289
650 3358 5313
650 3437 5268
650 3434 5262
650 3413 5288
700 3735 5745
700 3719 5759
700 3720 5763
700 3703 5749
700 3724 5735
700 3702 5750
700 3737 5744
700 3754 5724
700 3773 5718
700 3733 5748
700 3709 5771
700 3686 5765
700 3686 5766
700 3717 5755
700 3739 5739
700 3707 5771
700 3738 5748
700 3684 5771
700 3709 5748
700 3720 5749
750 4054 6255
750 4103 6227
750 4030 6220
750 4050 6211
750 4047 6243
750 4060 6224
750 4016 6256
750 4046 6214
750 4019 6221
750 3996 6264
750 3990 6249
750 4031 6218
750 4023 6245
750 4055 6216
750 4037 6245
750 4030 6236
750 4066 6230
750 4027 6262
750 4027 6231
750 4026 6241
800 4345 6734
800 4327 6723
800 4309 6718
800 4341 6742
800 4359 6732
800 4337 6708
800 4327 6733
800 4321 6722
800 4352 6727
800 4305 6735
800 4357 6724
800 4290 6743
800 4333 6716
800 4360 6718
800 4299 6759
800 4339 6721
800 4338 6725
800 4341 6741
800 4321 6733
800 4371 6719
850 4614 7229
850 4625 7229
850 4638 7227
850 4622 7215
850 4636 7203
850 4594 7231
850 4598 7221
850 4582 7232
850 4644 7194
850 4568 7211
850 4653 7185
850 4665 7217
850 4654 7199
850 4572 7263
850 4636 7215
850 4638 7209
850 4657 7191
850 4603 7246
850 4610 7237
850 4623 7224
900 4957 7704
900 4905 7711
900 4980 7698
900 4985 7681
900 4994 7666
900 4961 7706
900 4929 7707
900 4946 7738
900 4920 7740
900 4912 7714
900 4925 7712
900 4926 7720
900 4940 7727
900 4933 7718
900 4972 7713
900 4947 7735
900 4982 7707
900 4982 7683
900 4931 7717
900 4914 7706
950 5245 8208
950 5265 8181
950 5250 8232
950 5212 8227
950 5291 8182
950 5266 8207
950 5257 8209
950 5235 8197
950 5273 8195
950 5285 8170
950 5237 8244
950 5244 8201
950 5240 8189
950 5241 8204
950 5293 8171
950 5296 8176
950 5255 8209
950 5243 8229
950 5229 8208
950 5237 8234
1000 5586 8707
1000 5606 8701
1000 5572 8712
1000 5560 8716
1000 5547 8718
1000 5563 8720
1000 5572 8704
1000 5638 8692
1000 5612 8672
1000 5595 8697
1000 5559 8729
1000 5573 8730
1000 5566 8727
1000 5564 8718
1000 5627 8710
1000 5547 8713
1000 5600 8676
1000 5564 8733
1000 5604 8711
1000 5579 8677
