n przestawienia_dpqs porównania_dpqs
50 181 415
50 159 601
50 168 399
50 168 398
50 155 371
50 174 389
50 198 522
50 169 405
50 208 551
50 178 352
100 391 1206
100 406 1009
100 457 887
100 405 1217
100 484 1121
100 397 900
100 459 1002
100 390 1261
100 430 1395
100 443 1014
150 661 1490
150 654 2288
150 737 1806
150 682 1692
150 637 1521
150 718 1842
150 749 1462
150 640 1847
150 647 1509
150 658 2736
200 960 2339
200 859 3577
200 1119 2511
200 937 2913
200 843 2318
200 1113 2312
200 957 3195
200 1011 2378
200 1021 2410
200 893 2590
250 1251 3544
250 1336 3363
250 1399 3120
250 1127 3347
250 1242 3182
250 1279 3313
250 1342 3260
250 1320 3016
250 1442 4954
250 1253 3432
300 1574 3956
300 1701 5250
300 1477 5062
300 1513 4103
300 1444 3940
300 1615 4431
300 1555 4083
300 1434 4099
300 1550 6422
300 1622 5664
350 2125 4591
350 1934 3977
350 2372 4631
350 1739 4735
350 1704 5008
350 1751 4776
350 1746 5271
350 1969 5248
350 1819 5256
350 1932 5338
400 1934 5442
400 2259 5777
400 2084 6089
400 2083 5553
400 2340 6397
400 2123 6790
400 2082 6495
400 2214 6888
400 2329 6901
400 2255 6647
450 2649 9501
450 2679 6285
450 3001 8063
450 2947 8435
450 2616 6865
450 2598 6547
450 2770 6953
450 2369 8227
450 2338 7855
450 2602 6673
500 2638 7338
500 2872 7597
500 2405 8717
500 2791 9592
500 2613 9248
500 2734 10172
500 2410 10230
500 2543 7499
500 3325 9026
500 2929 8163
550 3573 8751
550 3118 9355
550 3270 11679
550 2923 10370
550 2636 9868
550 3150 9885
550 3389 9025
550 3295 8780
550 3414 9252
550 3216 7800
600 3264 9761
600 3476 9891
600 3814 11348
600 3727 9238
600 3189 10743
600 3492 13597
600 3257 9087
600 3844 10179
600 3633 8832
600 3202 10155
650 3473 10919
650 3563 13055
650 4029 9952
650 4055 13399
650 3962 11109
650 3895 11643
650 3586 12145
650 4067 9664
650 3797 10689
650 4364 10546
700 3924 11037
700 4312 12876
700 4062 12540
700 4134 12168
700 4168 12415
700 3945 11953
700 4133 11899
700 4892 15571
700 4570 14037
700 4472 13457
750 4773 12840
750 4973 14635
750 4427 13607
750 4569 14617
750 4449 13610
750 4229 14570
750 4740 13124
750 4455 14455
750 4453 16108
750 4425 12959
800 4981 15832
800 4655 17961
800 5245 15101
800 4661 13474
800 4640 13064
800 5383 13067
800 4971 14048
800 4343 18644
800 4885 14103
800 4773 17485
850 5579 13888
850 5164 15555
850 5227 20560
850 5922 21242
850 5353 17550
850 4903 14856
850 4602 19485
850 4957 13817
850 5884 23950
850 5648 14541
900 5758 17832
900 6128 19053
900 5295 18412
900 5660 16089
900 5602 18045
900 5357 15131
900 6154 15321
900 5745 17979
900 5541 16590
900 5916 13793
950 5543 19590
950 6098 20406
950 5937 17224
950 5556 27487
950 5918 20124
950 6249 18169
950 6288 18040
950 5484 18229
950 5165 20490
950 6711 18937
1000 6233 21736
1000 5719 21564
1000 6196 19606
1000 6433 17171
1000 6557 17067
1000 6207 16739
1000 6456 17730
1000 6236 16363
1000 6123 20327
1000 6417 25155
