n przestawienia_mysort porównania_mysort
950 6019 10590
950 5346 10302
950 6163 10547
950 5409 9854
950 5353 9844
950 5316 9389
950 6200 10468
950 5732 9830
950 5914 10937
950 5697 10290
950 6341 9980
950 4822 9861
950 5981 9544
950 5444 9540
950 5566 10248
950 6442 10624
950 5842 10759
950 5961 11246
950 5672 11639
950 6247 11641
950 5971 9842
950 5607 11762
950 5836 9832
950 5576 9972
950 5676 12026
950 5988 9897
950 5981 10789
950 5592 10107
950 5344 9369
950 5741 10899
950 7144 12177
950 6447 10802
950 5852 10016
950 6382 10566
950 5591 11049
950 6626 11261
950 6475 10744
950 5501 9560
950 5854 11616
950 7165 11041
950 4874 9701
950 5669 10248
950 5305 10150
950 5236 9822
950 6369 10786
950 5871 10459
950 5723 9517
950 5203 10141
950 5712 10017
950 5660 10209
950 5378 9766
950 5969 9923
950 5248 10291
950 5806 9885
950 5963 11339
950 6246 11022
950 5362 9903
950 6793 10191
950 5472 10011
950 5566 9597
950 5682 9720
950 5839 10283
950 4959 9831
950 5697 10525
950 5633 9878
950 5001 9866
950 5505 10409
950 5564 10393
950 5896 10139
950 5284 9636
950 5179 10033
950 5664 10246
950 6750 11343
950 5464 9399
950 5205 10806
950 6297 10439
950 6252 11336
950 4905 9799
950 6231 11305
950 6838 11305
950 6184 10415
950 5300 10246
950 5229 10038
950 5448 10311
950 5350 9756
950 5403 11365
1000 6057 11334
1000 5970 10413
1000 6596 11177
1000 5090 10059
1000 6050 10518
1000 6321 10781
1000 8881 14399
1000 5751 10812
1000 5167 10996
1000 8038 12645
1000 5438 10662
1000 6592 11296
1000 6020 11821
1000 6649 10958
1000 6637 11424
1000 7853 12338
1000 5323 11243
1000 7153 11793
1000 5991 11572
1000 6941 10902
1000 5609 10391
1000 5435 11318
1000 6052 11269
1000 6282 10580
1000 7123 11165
1000 5252 11156
1000 5843 10141
1000 6321 11570
1000 6184 10934
1000 7368 11009
1000 6216 10592
1000 5869 11210
1000 5956 10702
1000 5532 10246
1000 5707 10232
1000 5507 10392
1000 6225 12048
1000 6553 10999
1000 6394 12166
1000 6071 11297
1000 4845 10176
1000 5953 10706
1000 5748 10600
1000 5374 10102
1000 5574 10537
1000 7315 12092
1000 5891 11600
1000 5876 11044
1000 5550 10444
1000 5451 10354
1000 6827 11846
1000 6633 10842
1000 6375 10820
1000 6601 11169
1000 5461 11029
1000 6204 11799
1000 5762 11196
1000 6007 11567
1000 5212 11244
1000 6670 10788
1000 5980 10133
1000 7127 11196
1000 5948 10963
1000 5749 10169
1000 5383 10382
1000 6811 11176
1000 5178 11064
1000 6031 11098
1000 6476 11006
1000 5840 10998
1000 8283 12276
1000 5728 10950
1000 6782 10989
1000 5894 10923
1000 5581 10448
1000 5714 11013
1000 5396 10679
1000 6797 11637
1000 6832 10973
1000 5741 10207
1000 5464 10388
1000 5358 10322
1000 6039 11538
1000 6092 10267
1000 5712 10388
1000 6569 11179
1000 6046 10354
1000 6809 10684
1000 5549 11391
1000 6518 10728
1000 5861 11188
1000 5404 10077
1000 7282 11353
1000 4914 10610
1000 6275 10466
1000 6141 11132
1000 6819 11380
1000 5763 11890
1000 5447 11191
1000 5847 11731
