n przestawienia_mysort porównania_mysort
250 980 1981
250 1040 1939
250 1059 1984
250 1070 2086
250 1029 1954
250 1128 2008
250 1691 2639
250 994 2027
250 1235 2032
250 1195 2083
250 1363 2139
250 1114 1907
250 1001 1896
250 1046 2037
250 1149 2044
250 999 2101
250 1467 2223
250 1094 2078
250 1128 1839
250 1212 2052
250 1126 2033
250 1150 2098
250 1108 1938
250 1292 1970
250 1048 1780
250 1098 1946
250 1255 1904
300 1314 2309
300 1426 2419
300 1286 2519
300 1509 2493
300 1358 2322
300 1344 2599
300 1594 2731
300 1587 2586
300 1370 2555
300 1395 2541
300 1633 2648
300 1260 2670
300 1406 2664
300 1292 2521
300 1162 2502
300 1582 2513
300 1620 2918
300 1733 2705
300 1336 2340
300 1462 2542
300 1618 2676
300 1472 2617
300 1450 2455
300 1642 2803
300 1339 2401
300 1656 2688
300 1414 2578
300 1488 2577
300 1433 2478
300 1624 2589
300 1683 2583
300 1407 2803
300 1314 2648
300 1506 2828
300 1363 2564
300 1274 2518
300 1481 2510
300 1496 2812
300 1951 3021
300 1554 2577
300 1863 2850
300 1299 2432
300 1682 2593
300 1566 2697
300 1421 2297
300 1205 2504
300 1269 2533
300 1350 2623
300 1262 2355
300 1266 2722
300 1470 2515
300 1583 2654
300 1559 2401
300 1802 2990
300 1279 2543
300 1408 2451
300 1261 2397
300 1468 2447
300 1566 2948
300 1564 2867
300 1341 2629
300 1369 2384
300 1658 2815
300 1388 2579
300 1386 2416
300 1398 2471
300 1542 2635
300 1703 2765
300 1545 2606
300 1501 2478
300 1419 2439
300 1334 2553
300 1611 2523
300 1391 2539
300 1503 2407
300 1695 2952
300 1553 2645
300 1404 2394
300 1597 2711
300 1238 2477
300 1472 2511
300 1460 2978
300 1377 2694
300 1351 2431
300 1695 2729
300 1543 3247
300 1461 2460
300 1437 2305
300 1518 2756
300 1452 2634
300 1261 2516
300 1413 2370
300 1334 2616
300 1630 2661
300 1162 2279
300 1393 2674
300 1403 2742
300 1349 2626
300 1340 2457
300 1396 2875
350 1967 3069
350 1669 3060
350 1685 2998
350 2008 3261
350 1538 3008
350 1636 2833
350 1747 3209
350 1848 3353
350 1714 3011
350 1654 3069
350 1672 2905
350 1518 2785
350 2185 3614
350 1875 3372
350 1519 2770
350 1535 2904
350 1664 2954
350 1563 2806
350 1676 2857
350 2250 3215
350 1602 2888
350 1745 3024
350 1632 2784
350 1639 3018
350 1482 2999
350 1732 3415
350 1974 3204
350 1744 3143
350 1663 3098
350 1587 2809
350 1828 3019
350 1583 2997
350 1458 3055
350 1694 2919
350 1748 2981
350 1815 3098
350 1525 3109
350 1800 2848
350 1397 3137
350 1905 3151
350 1572 2904
350 1887 3236
350 1801 3037
350 1818 3631
350 1466 2742
350 1704 2887
350 1715 2991
350 1402 3259
350 1731 2844
350 1658 3142
350 1826 3124
350 1817 2992
350 1666 3276
350 1857 2960
350 2002 3573
350 1597 2974
350 1947 3293
350 1448 3043
350 1600 3101
350 2035 3849
350 2130 3111
350 1769 2848
350 1924 2968
350 1819 3611
350 1601 2846
350 2487 3892
350 1944 3079
350 1704 2821
350 1478 3021
350 1434 2927
350 1575 2804
350 1954 3138
350 1359 3195
350 1380 2872
350 2029 3300
350 1969 3389
350 1501 2781
350 1743 3320
350 1692 2924
350 1979 3181
350 1852 3005
350 1757 3375
350 2410 3595
350 1653 2998
350 1729 2963
350 1655 2857
350 2013 3107
350 2421 3687
350 1796 3115
350 1561 2835
350 1536 3105
350 1865 3334
350 1631 2860
350 1981 3367
350 1575 2955
350 2014 3842
350 1950 3139
350 1851 3162
350 1835 3263
350 1975 3050
400 2574 3739
400 2165 4240
400 1693 3443
400 2066 3769
400 2330 3619
400 1804 3547
400 1954 3755
400 1913 3164
400 1880 3505
400 1969 3303
400 2490 3695
400 1937 3480
400 2280 4171
400 2122 3490
400 2317 3710
400 1896 3570
400 1950 3561
400 1843 3326
400 1914 3486
400 1942 3683
400 2196 3468
400 2776 4132
400 2076 3677
400 2000 3407
400 1910 3599
400 1803 3497
400 1801 3935
400 1884 3398
400 2516 3814
400 2238 3495
400 2207 4054
400 2002 3677
400 2234 4016
400 2501 3811
400 1859 3520
400 2151 4151
400 1935 3551
400 2198 3514
400 2139 3656
400 2495 3806
400 2030 3768
400 2620 3719
400 2028 3997
400 2170 3743
400 2388 3755
400 2117 3398
400 2215 3545
400 2362 4199
400 2605 4181
400 1848 3812
400 2018 3598
400 1940 3547
400 1827 3340
400 2006 3416
400 1935 3829
400 1933 4286
400 1852 3839
400 2221 3900
400 1751 3361
400 1932 3668
400 2207 3771
400 2159 3669
400 1920 3259
400 1816 3428
400 2441 3700
400 2089 3740
400 1848 3276
400 2058 3948
400 1880 3555
400 2258 3432
400 2500 3831
400 2068 3478
400 2304 4000
400 2447 3890
400 2274 3387
400 2217 3670
400 2666 4362
400 1743 3620
400 2195 3648
400 2025 3549
400 1892 3407
400 2265 3955
400 2329 3913
400 1824 3425
400 2192 3464
400 1947 3660
400 1945 3472
400 1728 3351
400 1891 4271
400 2339 3693
400 2037 3367
400 1765 3516
400 2373 3933
400 1830 3719
400 2683 4320
400 2289 3925
400 2012 3392
400 2202 3805
400 2006 3614
400 2019 3485
450 2293 4150
450 1963 3937
450 2739 5071
450 2204 4284
450 2163 4371
450 2589 4382
450 2556 4310
450 2667 4391
450 2497 4175
450 2677 4186
450 2385 4137
450 2132 4096
450 2560 4448
450 2548 4187
450 2099 4082
450 2334 4077
450 2515 4254
450 2281 3970
450 2823 4345
450 1994 4499
450 2194 3849
450 2879 4590
450 2388 3904
450 2654 4553
450 2773 4666
450 1858 4291
450 2472 4086
450 2125 3766
450 2219 3987
450 2717 4283
450 2751 4257
450 2440 4195
450 2386 3997
450 2076 4323
450 2180 3871
450 2691 4258
450 2344 4481
450 2444 4754
450 2364 4395
450 2260 3981
450 2022 4399
450 2007 3916
450 2909 4385
450 2784 4523
450 2130 4562
450 2469 4242
450 2195 4026
450 2473 4091
450 2112 3892
450 2153 3876
450 2638 4204
450 2909 4227
450 2403 4119
450 2170 4207
450 2695 4440
450 2217 4046
450 2184 3975
450 1860 4599
450 2274 4074
450 2643 4174
450 2514 4219
450 2211 4731
450 2043 3804
450 2184 4132
450 2626 4112
450 2123 4281
450 2315 3890
450 2031 4162
450 2697 4857
450 2531 4455
450 2630 4131
450 2117 4098
450 2593 4098
450 2354 4031
450 2434 4269
450 2446 4735
450 2601 4591
450 2506 4179
450 2168 3864
450 2572 4192
450 2328 3841
450 2203 4131
450 2340 3863
450 2723 4328
450 2229 3898
450 2925 4657
450 2566 4148
450 2687 4075
450 2072 4250
450 2201 3940
450 2658 4541
450 2102 3810
450 2285 3931
450 2181 4421
450 2391 3993
450 2284 4347
450 2048 3783
450 2669 4329
450 2675 4395
450 2191 4042
500 2703 4733
500 3376 4852
500 2668 4459
500 2428 4500
500 2800 5221
500 2674 4529
500 2717 4648
500 3120 5016
500 2481 4786
500 2603 4668
500 3092 4988
500 2748 4692
500 2861 5204
500 2693 4952
500 2727 4819
500 3087 4846
500 2741 4924
500 2518 4244
500 3035 5110
500 2353 4432
500 3619 5256
500 2400 4739
500 2880 4503
500 3008 5048
500 3088 5036
500 3179 5099
500 2582 4581
