n przestawienia_quick porównania_quick
50 225 321
50 155 222
50 170 259
50 152 232
50 175 295
50 175 274
50 133 229
50 146 262
50 138 285
50 154 279
100 362 631
100 402 597
100 330 639
100 344 667
100 390 599
100 387 622
100 405 580
100 406 714
100 344 584
100 389 604
150 561 1022
150 736 1053
150 841 1214
150 627 952
150 573 991
150 579 1044
150 752 1281
150 819 1109
150 765 1245
150 747 1100
200 940 1521
200 933 1492
200 975 1607
200 812 1447
200 947 1600
200 928 1602
200 910 1488
200 1139 1726
200 1137 1722
200 1192 1733
250 1121 2088
250 1167 2385
250 1148 1915
250 1259 2134
250 1120 2046
250 1360 1984
250 1118 2130
250 1148 1904
250 1087 1841
250 1262 1994
300 1590 2497
300 1541 2500
300 1594 2507
300 1425 2656
300 1372 2439
300 1294 2332
300 1568 2350
300 1289 2452
300 1519 2477
300 1534 2495
350 1731 3253
350 1635 2928
350 1779 3196
350 2031 3129
350 1816 2921
350 1538 2900
350 1958 3006
350 1892 2971
350 2425 3347
350 1838 3129
400 2285 3997
400 1991 3546
400 2053 3610
400 2637 4003
400 1901 3598
400 2225 3875
400 2371 3634
400 2153 3321
400 2049 3833
400 1613 3757
450 2413 4103
450 2323 4340
450 2718 4242
450 2158 4228
450 2064 4128
450 2362 4319
450 2498 4427
450 2345 4190
450 2393 4190
450 2319 4241
500 2773 4386
500 2962 5277
500 2328 4553
500 3959 5538
500 2883 4737
500 2813 4947
500 2615 4447
500 2582 4773
500 3098 5251
500 2886 4595
550 3048 5404
550 3091 5956
550 3025 5407
550 3074 5305
550 3150 4997
550 3630 5808
550 3013 5788
550 2725 5208
550 2834 5645
550 3500 5544
600 4674 7010
600 3243 6218
600 3420 5957
600 3709 6283
600 4258 6337
600 3043 6247
600 3546 6084
600 3407 5663
600 3410 5623
600 3182 5524
650 3168 6027
650 3712 6296
650 2999 6929
650 3754 6575
650 4580 6611
650 3830 6135
650 3880 7391
650 4887 7317
650 3774 6304
650 3583 5787
700 4112 6706
700 4187 6706
700 4742 7218
700 4615 7360
700 4570 7304
700 3617 7422
700 3914 6886
700 3592 6793
700 4270 8255
700 4047 7774
750 4289 7616
750 4461 8453
750 4515 7396
750 4264 7610
750 4105 7534
750 4173 7888
750 3670 7556
750 3902 8261
750 4159 7361
750 5375 8793
800 4533 7817
800 4258 7822
800 4572 8490
800 4431 8364
800 5051 8120
800 4946 9593
800 5201 8095
800 4376 7773
800 4280 8516
800 4150 7849
850 4975 9647
850 5294 9584
850 4489 9330
850 4501 9083
850 4688 8867
850 5517 9269
850 5720 9305
850 4708 8611
850 5937 9870
850 4892 10085
900 5570 9569
900 5187 9322
900 5294 10758
900 6010 10083
900 5823 10818
900 5755 9641
900 7293 11191
900 4910 9239
900 5419 9180
900 5438 9656
950 5534 10187
950 5319 10157
950 5761 11666
950 5998 10250
950 5546 9951
950 5515 9477
950 7079 10664
950 5796 10889
950 5074 9984
950 5368 9374
1000 5817 10482
1000 7275 10890
1000 6311 11782
1000 5807 10191
1000 6362 10776
1000 6204 10925
1000 5922 11065
1000 5920 10187
1000 6202 11351
1000 5915 10134
