n przestawienia_quick porównania_quick
250 1235 2050
250 1348 2096
250 1304 2107
250 1338 2055
250 1314 2026
250 1103 1866
250 1060 1842
250 1146 2072
250 1259 2233
250 1592 2204
250 1210 1902
250 1333 2054
250 1112 1911
250 1223 1973
250 1210 1975
250 1326 2092
250 1238 2001
250 1230 2421
250 1019 1855
250 1252 1971
250 1115 2012
250 1227 2110
250 1262 1971
250 1389 2056
250 1263 2043
250 1431 2005
250 1165 1952
250 1156 2048
300 1446 2512
300 1356 2328
300 1276 2233
300 1332 2854
300 1979 2724
300 1674 2460
300 1492 2484
300 1743 2553
300 1474 2884
300 1344 2608
300 1292 2463
300 1913 2717
300 1591 2643
300 1441 2397
300 1617 2924
300 1467 2475
300 1699 2748
300 1518 2625
300 1474 2943
300 1851 2724
300 1716 2620
300 1516 2457
300 1533 2495
300 1936 3277
300 1499 2622
300 1414 2500
300 1327 2502
300 1414 2269
300 1741 2560
300 1555 2480
300 1586 2436
300 1382 2388
300 1580 2480
300 1538 2419
300 1643 2539
300 1487 2618
300 1524 2569
300 1645 2605
300 1300 2307
300 1539 2490
300 1672 2469
300 1491 2269
300 1390 2472
300 1755 3052
300 1725 2909
300 1223 2384
300 1505 2643
300 1395 2456
300 1800 3010
300 1364 2641
300 1577 2608
300 1469 2457
300 1394 2339
300 1390 2388
300 1292 2628
300 1357 2575
300 1350 2449
300 1333 2454
300 1542 2639
300 1462 2581
300 1354 2410
300 1370 2561
300 1159 2591
300 1747 2816
300 1375 2715
300 1462 2468
300 1477 2403
300 1493 2606
300 1539 2414
300 1368 2475
300 1436 2606
300 1443 2934
300 1444 2823
300 1493 2500
300 1457 2479
300 1585 2456
300 1553 2443
300 1576 2499
300 1819 2836
300 1399 2411
300 1313 2464
300 1453 2476
300 1464 2492
300 1304 2483
300 1343 2311
300 1345 2383
300 1310 2336
300 1473 2421
300 1476 2384
300 1897 2841
300 1473 2631
300 1798 2776
300 1390 2630
300 1629 2516
300 1675 2500
300 1447 2773
300 1309 2602
300 1535 2596
300 1369 2373
300 1494 2645
350 1830 2957
350 1771 3034
350 1598 2755
350 1651 2827
350 1561 3047
350 1897 2941
350 1810 3089
350 2117 3463
350 2027 3327
350 1956 2961
350 2007 3118
350 1979 3130
350 1760 3116
350 2089 3365
350 1917 3072
350 1731 3021
350 1741 3036
350 1581 2693
350 1704 3031
350 1825 3055
350 1639 3014
350 1802 3054
350 2037 3098
350 2033 3071
350 2031 3052
350 1477 3080
350 1727 3309
350 1798 2820
350 1770 3028
350 1573 3272
350 1591 3404
350 1635 2954
350 1505 2821
350 1812 2933
