n przestawienia_dpqs porównania_dpqs
950 5867 18158
950 5631 17586
950 5711 22418
950 5700 22231
950 5639 15590
950 5927 15840
950 6060 16068
950 5950 17305
950 5875 24394
950 5754 27533
950 5583 17419
950 5966 17547
950 6217 19587
950 5853 27215
950 6154 21063
950 6093 27755
950 5901 16405
950 5414 24242
950 5437 21309
950 5676 20603
950 6733 22040
950 5978 19131
950 6261 18779
950 5806 20870
950 5421 18119
950 6135 18263
950 5915 19909
950 6599 16001
950 6039 16282
950 5960 27406
950 5474 20500
950 6109 21734
950 5717 22191
950 5355 18929
950 6042 16987
950 6093 16897
950 5698 18512
950 6915 18829
950 5964 16624
950 6253 18624
950 5704 16127
950 6368 20039
950 5867 16302
950 5928 21593
950 5764 16140
950 5966 19728
950 6517 16232
950 6627 19329
950 6421 19772
950 5807 17331
950 6104 15517
950 6412 24482
950 6002 18144
950 5311 17943
950 5998 16560
950 5968 22019
950 6042 28726
950 5366 16970
950 5817 17706
950 5849 15610
950 6397 18686
950 5581 18640
950 6328 20401
950 5048 20542
950 5556 20330
950 5508 19773
950 5995 25080
950 6188 19129
950 6748 17341
950 6958 21190
950 6710 21204
950 6605 22216
950 5863 17211
950 6314 20951
950 6542 18053
950 5285 18134
950 5077 26026
950 5839 15749
950 6377 16415
950 5478 19109
950 5769 17273
950 5806 23589
950 6565 20929
950 5626 20999
950 5776 19179
950 6155 15336
950 6027 15594
950 5962 16766
950 5961 16344
950 5456 19103
950 5759 17631
950 6145 18569
950 5120 23339
950 5529 20407
950 5870 18605
950 6147 18746
950 5842 19425
950 5784 17501
1000 5855 20811
1000 7047 21120
1000 6819 25459
1000 7285 16423
1000 5570 20030
1000 6358 23617
1000 6634 17842
1000 6408 19004
1000 5956 19280
1000 6324 18171
1000 6372 19746
1000 6167 19896
1000 6827 21083
1000 5957 23374
1000 7202 18870
1000 6762 17723
1000 5896 17056
1000 6247 22738
1000 6955 18560
1000 6087 20376
1000 6573 22601
1000 6594 21821
1000 6835 24234
1000 5923 19600
1000 5426 17444
1000 7037 18739
1000 6688 20620
1000 6948 20067
1000 5723 17439
1000 6295 27242
1000 5646 21613
1000 6591 20640
1000 5756 23146
1000 5727 16406
1000 6065 16225
1000 6439 18772
1000 6131 20724
1000 6070 20498
1000 6248 20271
1000 6183 23274
1000 6359 23878
1000 6264 23536
1000 7145 20366
1000 6605 17920
1000 6177 18166
1000 6342 22655
1000 6649 21184
1000 6510 20014
1000 6012 19189
1000 6419 18067
1000 6405 15897
1000 6122 20320
1000 6005 19422
1000 6112 17187
1000 6765 16819
1000 6884 19529
1000 6400 20849
1000 6169 18397
1000 6213 22638
1000 5792 18869
1000 5760 23228
1000 6285 21117
1000 6095 22270
1000 6445 22044
1000 5718 18963
1000 6836 19003
1000 6190 20100
1000 6015 18758
1000 6193 19212
1000 6411 18662
1000 6532 19163
1000 5836 20664
1000 5625 20671
1000 6817 33919
1000 6738 20401
1000 6177 22287
1000 5486 23024
1000 6498 17314
1000 6657 19308
1000 6127 17490
1000 7181 17800
1000 5747 19772
1000 5649 25904
1000 6707 19042
1000 6463 16076
1000 5685 19063
1000 6673 18132
1000 5790 16564
1000 6681 22485
1000 6574 18810
1000 7889 29568
1000 5830 17593
1000 6724 21549
1000 6796 21364
1000 6894 16872
1000 6257 19024
1000 6775 17845
1000 5973 19973
1000 5967 20317
1000 6133 17749
