n przestawienia_dpqs porównania_dpqs
250 1230 3307
250 1612 3562
250 1048 4034
250 1149 3738
250 1354 4205
250 1244 3565
250 1265 3362
250 1280 3433
250 1117 2779
250 1328 3190
250 1348 3587
250 1412 3019
250 1190 2734
250 1274 3451
250 1353 2606
250 1364 3695
250 1294 3449
250 1338 4049
250 1134 3611
250 1426 4732
250 1151 4134
250 1365 3943
250 1215 2876
250 1186 3460
250 1257 3136
250 1203 4747
250 1303 4314
250 1223 3839
250 1386 3368
250 1239 3034
250 1222 5061
250 1261 4378
250 1245 3230
250 1189 3071
250 1146 4153
250 1092 3482
250 1257 3715
250 1238 3586
300 1332 5593
300 1622 3910
300 1730 3561
300 1588 3443
300 1465 3751
300 1627 5232
300 1649 4911
300 1669 4078
300 1765 5814
300 1562 3615
300 1762 4003
300 1652 5006
300 1464 5089
300 1517 5035
300 1551 5063
300 1552 3589
300 1539 4893
300 1568 4106
300 1635 4330
300 1511 4017
300 1591 4086
300 1522 6701
300 1540 5214
300 1447 4709
300 1393 4525
300 1619 4144
300 1559 4148
300 1598 6182
300 1588 5445
300 1742 4064
300 1400 5621
300 1476 3880
300 1523 3677
300 1695 3500
300 1520 3739
300 1585 4750
300 1754 4741
300 1536 4363
300 1509 4067
300 1685 4603
300 1649 4290
300 1861 3831
300 1428 3934
300 1485 5456
300 1559 6217
300 1535 4330
300 1465 4541
300 1463 4575
300 1515 4078
300 1555 3489
300 1441 3622
300 1588 4999
300 1721 6282
300 1420 4137
300 1420 3945
300 1664 6270
300 1480 3788
300 1437 4637
300 1882 6368
300 1525 4328
300 1547 4766
300 1722 4459
300 1955 4052
300 1474 4257
300 1536 3560
300 1386 4923
300 1615 5379
300 1551 4388
300 1541 6562
300 1673 4372
300 1578 4743
300 1499 4213
300 1650 3580
300 1900 6667
300 1493 3973
300 1590 4282
300 1658 4667
300 1467 4452
300 1741 4954
300 1588 3905
300 1406 5427
300 1405 5579
300 1616 4304
300 1389 4279
300 1464 4372
300 1490 3861
300 1487 5190
300 1642 3692
300 1588 4849
300 1661 4999
300 1575 4506
300 1616 3851
300 1741 4924
300 1489 4792
300 1479 6878
300 1518 4577
300 1537 3781
300 1633 3735
300 1427 5121
300 1795 6453
350 1880 5821
350 1670 7281
350 2059 5219
350 1892 6646
350 2086 5199
350 1865 4798
350 1970 5689
350 1781 4925
350 1860 5314
350 1802 5325
350 2212 4829
350 1850 5470
350 1963 5224
350 1954 5216
350 1730 6878
350 2242 5202
350 1716 4596
350 1678 5137
350 1683 7242
350 1905 5125
350 1677 7197
350 1885 5976
350 1878 4784
350 1886 6230
350 1837 6912
350 2046 4137
350 2007 5311
350 2170 7667
350 1849 5506
350 1922 4941
350 1884 4975
350 1866 5761
350 1814 5431
350 1777 4912
350 1900 4931
350 1847 4692
350 1778 5466
350 1762 5555
350 1959 6468
350 1736 4981
350 1828 6928
350 2008 5418
350 2160 6767
350 1770 6029
350 2171 4908
350 1933 4574
350 2002 4562
350 2005 5289
350 1913 7229
350 1844 5427
350 1841 4774
350 2002 4389
350 1977 4833
350 1687 5137
350 1824 4758
350 1877 4672
350 1849 4630
350 1862 6513
350 2121 6061
350 1752 5588
350 1838 5628
350 1762 5171
350 1920 5482
350 1957 4921
350 1789 5254
350 1900 4767
350 1649 5436
350 1943 6012
350 2121 5102
350 1797 6212
350 1935 4974
350 1845 6590
350 1704 5788
350 1893 4373
350 2227 5329
350 1612 4680
350 1698 4768
350 1622 5320
350 1807 6727
350 1708 5651
350 1774 5970
350 1814 4974
350 1930 4673
350 1803 5175
350 1942 6075
350 2044 4966
350 1871 8152
350 2043 8601
350 1760 5491
350 1738 5316
350 1766 6420
350 1800 5019
350 2134 5330
350 1924 5698
350 1983 5274
350 1839 4931
350 1886 5674
350 1781 6030
350 1940 4698
350 1821 4889
400 2283 8210
400 2191 6085
400 2189 6061
400 2280 7747
400 2292 7612
400 2085 7202
400 2303 6860
400 2293 8932
400 2428 6691
400 2038 5706
400 2334 6098
400 2387 6585
400 1961 6039
400 2269 5717
400 2266 6603
400 2209 7628
400 2438 6672
400 2233 6042
400 2165 7961
400 2004 6312
400 2030 6852
400 2221 6023
400 1923 8694
400 2079 6455
400 1925 7320
400 2156 5087
400 2327 6225
400 1872 6076
400 2115 5996
400 2253 5371
400 2105 6391
400 1992 5837
400 2072 12208
400 2058 7076
400 1748 6541
400 2319 6106
400 2376 6032
400 2007 6356
400 2023 5845
400 2546 6624
400 1880 5742
400 2184 5560
400 2045 6798
400 2126 10391
400 1960 5950
400 2233 5454
400 1862 5530
400 2279 5605
400 2139 6306
400 2174 6591
400 2204 7358
400 2165 7273
400 1874 8006
400 2168 5468
400 1936 8067
400 2166 6896
400 1962 5679
400 2103 7196
400 2229 5209
400 2342 6291
400 2162 6963
400 2015 6472
400 2280 5561
400 1880 6871
400 2197 7415
400 2071 5689
400 2239 5959
400 1980 6610
400 2150 5654
400 2328 6502
400 2227 9594
400 2008 6992
400 2123 6499
400 2299 5590
400 2095 6631
400 2026 6517
400 2235 5799
400 1928 5889
400 2366 5654
400 1965 5537
400 2183 5134
400 2233 8501
400 2053 5149
400 2088 7775
400 2255 6839
400 2208 5854
400 2171 8189
400 2273 6740
400 2075 7474
400 2016 5755
400 2176 5830
400 2342 6842
400 2234 7629
400 2179 7493
400 1966 6234
400 2132 5439
400 2071 10740
400 2353 5976
400 2309 6525
400 2165 5725
450 2638 9238
450 2641 7868
450 2524 6493
450 2638 6972
450 2604 8272
450 2499 7214
450 2540 7231
450 2676 8724
450 2379 7257
450 2327 6210
450 2641 6825
450 2327 6993
450 2522 6749
450 2326 7911
450 2582 14867
450 2559 9025
450 2388 7557
450 2567 6370
450 2668 6663
450 2705 8509
450 2458 7703
450 2579 6775
450 2370 6730
450 2664 9093
450 2471 9531
450 2616 7275
450 2660 6985
450 2520 6386
450 2571 7736
450 2559 7374
450 2186 7834
450 2529 8510
450 2647 6604
450 2822 11482
450 2331 7259
450 2514 6718
450 2286 7637
450 2678 7254
450 2354 7384
450 2704 10313
450 2612 7776
450 2230 8273
450 2349 6347
450 2438 6114
450 2778 8435
450 2446 8278
450 2638 7401
450 2357 6489
450 2398 8527
450 2551 7331
450 2799 8417
450 2340 7018
450 2740 9633
450 2757 8269
450 2345 8682
450 2523 7852
450 2699 7576
450 2545 8817
450 2709 8388
450 2343 8706
450 2765 6442
450 2383 6673
450 2555 7259
450 2225 9355
450 2626 6501
450 2525 7222
450 2380 6805
450 2345 7035
450 2436 6833
450 2688 7305
450 2699 8054
450 2259 6383
450 2751 6575
450 2418 7831
450 2519 10155
450 2579 7291
450 2607 6172
450 2621 7589
450 2454 6878
450 3189 6933
450 2741 9168
450 2567 5871
450 2641 6343
450 3126 7548
450 2594 7314
450 2354 6103
450 2166 8957
450 2769 8317
450 2577 6143
450 2452 6434
450 3081 6632
450 2213 8604
450 2415 7295
450 2853 8238
450 2388 6227
450 2603 6503
450 2758 7326
450 2507 8206
450 2728 6745
450 2311 6471
500 2821 8864
500 2857 8033
500 2723 9722
500 2816 8940
500 3051 7836
500 2801 8584
500 2751 6626
500 2960 8073
500 2637 10231
500 2783 7811
500 3099 9130
500 2765 9058
500 2787 6789
500 2865 7659
500 2931 7986
500 2809 7283
500 2704 7641
500 3302 7951
500 2762 8186
500 3018 7499
500 2603 7749
500 2507 9398
500 3351 10621
500 2567 8786
500 3178 8346
500 3033 9412
500 2526 10524
500 2843 9242
500 2397 9055
500 2578 9338
500 2699 8320
500 3062 9531
500 2924 9385
500 2910 8843
500 3125 8128
500 2878 7232
500 2807 7906
500 2567 7171
500 2596 7566
500 2645 6963
500 2700 8458
500 2921 7919
