n przestawienia_dpqs porównania_dpqs
50 182 392
100 421 1272
150 683 1810
200 850 2885
250 1322 3694
300 1701 3897
350 1827 4651
400 2252 8065
450 2320 6850
500 2768 7998
550 3181 10363
600 3331 11398
650 4011 11440
700 3817 15676
750 4673 13271
800 5307 12970
850 5686 13198
900 6158 19871
950 5711 24483
1000 5899 18222
