n przestawienia_insort porównania_insort
50 657 658
50 566 568
50 754 756
50 693 689
50 728 727
50 706 704
50 699 699
50 589 591
50 530 533
50 763 764
100 2606 2613
100 2432 2432
100 2346 2346
100 2538 2542
100 2791 2786
100 2759 2761
100 2826 2822
100 2611 2614
100 2752 2749
100 3029 3024
150 5497 5503
150 5960 5961
150 6178 6171
150 6197 6198
150 6156 6162
150 5349 5349
150 5699 5697
150 5541 5542
150 6056 6055
150 6183 6188
200 10345 10349
200 9741 9747
200 10279 10281
200 10247 10250
200 9069 9072
200 10558 10556
200 10061 10055
200 9840 9843
200 9791 9798
200 10359 10360
250 15406 15405
250 15409 15408
250 14737 14736
250 15609 15609
250 15622 15619
250 16007 16008
250 15273 15272
250 15469 15475
250 16258 16256
250 16626 16625
300 22953 22950
300 21816 21823
300 22091 22090
300 22211 22209
300 21924 21919
300 22887 22885
300 23691 23692
300 22428 22434
300 22076 22080
300 21378 21382
350 32885 32889
350 29858 29858
350 29662 29663
350 31805 31803
350 29168 29168
350 29395 29395
350 30522 30527
350 28751 28748
350 31819 31820
350 31987 31983
400 40502 40499
400 39812 39813
400 40912 40911
400 40767 40767
400 38225 38225
400 40001 40005
400 39851 39848
400 39436 39441
400 40908 40904
400 40821 40820
450 50213 50215
450 49304 49304
450 52863 52864
450 51158 51158
450 49953 49953
450 52465 52461
450 49652 49654
450 52525 52521
450 53688 53682
450 48824 48829
500 66130 66131
500 63826 63824
500 63282 63282
500 62863 62864
500 63805 63802
500 64093 64090
500 59448 59454
500 63920 63916
500 63057 63050
500 63716 63714
550 76929 76931
550 77304 77309
550 77399 77400
550 72945 72944
550 75181 75183
550 76790 76789
550 75880 75872
550 75443 75449
550 74864 74868
550 72504 72500
600 89747 89750
600 88097 88096
600 90277 90278
600 92011 92013
600 92104 92103
600 87829 87836
600 91033 91037
600 89846 89845
600 93204 93206
600 88762 88757
650 104269 104271
650 104444 104454
650 108260 108264
650 104648 104652
650 108997 109001
650 110415 110414
650 112895 112896
650 105320 105321
650 107451 107455
650 105066 105065
700 120023 120018
700 126981 126985
700 121700 121694
700 124147 124148
700 122306 122299
700 126909 126906
700 124948 124954
700 122903 122900
700 117639 117640
700 121749 121751
750 135137 135146
750 141981 141972
750 143817 143820
750 142785 142781
750 141327 141332
750 142158 142156
750 147034 147034
750 139145 139143
750 138622 138623
750 143707 143704
800 165606 165605
800 157024 157027
800 163396 163399
800 160649 160654
800 163603 163602
800 157605 157605
800 159816 159825
800 162723 162720
800 158722 158723
800 161498 161497
850 178415 178413
850 177945 177942
850 181255 181258
850 183459 183461
850 178349 178346
850 184292 184287
850 180805 180802
850 181565 181565
850 179925 179928
850 180213 180215
900 207948 207944
900 199049 199044
900 197781 197782
900 196664 196665
900 206374 206368
900 203207 203204
900 208509 208512
900 198634 198635
900 208078 208083
900 204969 204972
950 227173 227173
950 234221 234224
950 221084 221087
950 218969 218972
950 223392 223391
950 216488 216493
950 225361 225364
950 228282 228287
950 230497 230494
950 227466 227468
1000 258261 258254
1000 239987 239988
1000 244179 244182
1000 250072 250070
1000 244172 244169
1000 248022 248020
1000 259385 259389
1000 255251 255252
1000 255791 255797
1000 255116 255114
