size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
40000, 25.112012, 29431.000000, 64.730700, 88290.000000, 10011.645388, 44.000000, 39950.000000 
40000, 25.104363, 46738.000000, 64.715563, 140211.000000, 10012.602563, 41.000000, 39950.000000 
40000, 25.110813, 54160.000000, 64.758588, 162477.000000, 10012.096638, 38.000000, 39950.000000 
40000, 25.146262, 23155.000000, 64.814638, 69462.000000, 10014.259013, 40.000000, 39950.000000 
40000, 25.085037, 49131.000000, 64.665500, 147386.000000, 10016.617513, 48.000000, 39950.000000 
40000, 25.096850, 43776.000000, 64.695625, 131321.000000, 10012.831538, 38.000000, 39950.000000 
40000, 25.147950, 55626.000000, 64.840812, 166874.000000, 10011.044088, 35.000000, 39950.000000 
40000, 25.126250, 58564.000000, 64.780488, 175689.000000, 10011.336425, 40.000000, 39950.000000 
40000, 25.107725, 43935.000000, 64.728088, 131798.000000, 10011.600300, 39.000000, 39950.000000 
40000, 25.134725, 43833.000000, 64.783987, 131492.000000, 10011.889625, 34.000000, 39950.000000 
40000, 25.105963, 35334.000000, 64.719313, 105998.000000, 10011.104700, 42.000000, 39950.000000 
40000, 25.066600, 25024.000000, 64.599688, 75069.000000, 10013.436063, 41.000000, 39950.000000 
40000, 25.121850, 42355.000000, 64.743013, 127062.000000, 10012.794025, 37.000000, 39950.000000 
40000, 25.085612, 20379.000000, 64.662787, 61132.000000, 10011.587863, 37.000000, 39950.000000 
40000, 25.091663, 42816.000000, 64.684625, 128443.000000, 10013.241725, 38.000000, 39950.000000 
40000, 25.090763, 23421.000000, 64.679775, 70259.000000, 10011.742125, 38.000000, 39950.000000 
40000, 25.106088, 38703.000000, 64.712238, 116104.000000, 10012.992425, 42.000000, 39950.000000 
50000, 25.582250, 29043.000000, 66.046670, 87124.000000, 12513.987340, 39.000000, 49950.000000 
50000, 25.662240, 38379.000000, 66.261690, 115132.000000, 12512.172320, 39.000000, 49950.000000 
50000, 25.605940, 57496.000000, 66.091190, 172485.000000, 12516.810480, 38.000000, 49950.000000 
50000, 25.587510, 41196.000000, 66.052490, 123581.000000, 12512.706920, 34.000000, 49950.000000 
50000, 25.615840, 40341.000000, 66.110850, 121018.000000, 12511.887460, 45.000000, 49950.000000 
50000, 25.616290, 69702.000000, 66.110100, 209099.000000, 12512.100450, 39.000000, 49950.000000 
50000, 25.639270, 33472.000000, 66.186690, 100413.000000, 12513.546210, 42.000000, 49950.000000 
50000, 25.639720, 42018.000000, 66.186560, 126050.000000, 12513.267710, 37.000000, 49950.000000 
50000, 25.539670, 52353.000000, 65.906890, 157054.000000, 12513.214970, 41.000000, 49950.000000 
50000, 25.611800, 68901.000000, 66.110170, 206696.000000, 12510.887660, 38.000000, 49950.000000 
50000, 25.613560, 36282.000000, 66.105060, 108839.000000, 12513.787570, 40.000000, 49950.000000 
50000, 25.611670, 73837.000000, 66.126340, 221508.000000, 12511.393130, 40.000000, 49950.000000 
50000, 25.594130, 53053.000000, 66.051830, 159156.000000, 12515.398920, 39.000000, 49950.000000 
50000, 25.616550, 24447.000000, 66.105600, 73337.000000, 12512.225310, 39.000000, 49950.000000 
50000, 25.665070, 74532.000000, 66.255310, 223589.000000, 12510.565860, 37.000000, 49950.000000 
50000, 25.624080, 39969.000000, 66.126540, 119900.000000, 12512.872880, 40.000000, 49950.000000 
50000, 25.599760, 51396.000000, 66.059780, 154184.000000, 12514.307030, 38.000000, 49950.000000 
50000, 25.593910, 45492.000000, 66.070280, 136472.000000, 12513.846780, 39.000000, 49950.000000 
50000, 25.572600, 41070.000000, 65.991800, 123203.000000, 12512.471900, 39.000000, 49950.000000 
50000, 25.605610, 63927.000000, 66.100330, 191774.000000, 12512.553260, 42.000000, 49950.000000 
60000, 25.983942, 18447.000000, 67.124092, 55336.000000, 15014.229008, 41.000000, 59950.000000 
60000, 25.993725, 22606.000000, 67.135483, 67815.000000, 15016.979358, 42.000000, 59950.000000 
60000, 26.032167, 48168.000000, 67.246525, 144499.000000, 15013.854592, 42.000000, 59950.000000 
60000, 26.021533, 62740.000000, 67.231158, 188217.000000, 15012.982125, 41.000000, 59950.000000 
60000, 25.994858, 57483.000000, 67.152708, 172445.000000, 15015.872783, 36.000000, 59950.000000 
60000, 26.050242, 45321.000000, 67.316883, 135956.000000, 15012.227675, 39.000000, 59950.000000 
60000, 26.038883, 74919.000000, 67.286233, 224752.000000, 15013.341325, 39.000000, 59950.000000 
60000, 26.051492, 62052.000000, 67.317458, 186151.000000, 15014.293575, 45.000000, 59950.000000 
60000, 26.035950, 77487.000000, 67.275958, 232456.000000, 15011.647975, 40.000000, 59950.000000 
60000, 26.034192, 58977.000000, 67.272308, 176926.000000, 15012.789192, 39.000000, 59950.000000 
60000, 26.040833, 81492.000000, 67.290175, 244469.000000, 15014.460542, 37.000000, 59950.000000 
60000, 26.052225, 38836.000000, 67.300742, 116505.000000, 15013.591883, 38.000000, 59950.000000 
60000, 26.038008, 75987.000000, 67.276308, 227954.000000, 15013.152525, 41.000000, 59950.000000 
60000, 26.045367, 70515.000000, 67.293158, 211538.000000, 15014.007250, 38.000000, 59950.000000 
60000, 26.057025, 57289.000000, 67.328258, 171864.000000, 15013.808067, 39.000000, 59950.000000 
60000, 26.019067, 54735.000000, 67.221567, 164200.000000, 15013.589158, 36.000000, 59950.000000 
60000, 26.037842, 71329.000000, 67.259842, 213984.000000, 15015.612850, 35.000000, 59950.000000 
60000, 26.044400, 87378.000000, 67.301467, 262129.000000, 15011.355567, 43.000000, 59950.000000 
60000, 26.029325, 45469.000000, 67.243158, 136404.000000, 15012.121083, 45.000000, 59950.000000 
