size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
30000, 20898.685050, 59999.000000, 5899.883533, 29962.000000, 19273.974533, 18090.000000, 30000.000000 
40000, 27832.800462, 79999.000000, 7833.998000, 39802.000000, 25728.724387, 24196.000000, 40000.000000 
40000, 27824.046150, 79999.000000, 7825.243575, 39733.000000, 25727.885038, 24205.000000, 40000.000000 
40000, 27862.342812, 79999.000000, 7863.540050, 39594.000000, 25730.275750, 24220.000000, 40000.000000 
40000, 27824.663412, 79999.000000, 7825.861963, 39940.000000, 25730.072037, 24115.000000, 40000.000000 
40000, 27896.823275, 79999.000000, 7898.020763, 39977.000000, 25733.181025, 24200.000000, 40000.000000 
40000, 27857.358950, 79999.000000, 7858.555825, 39802.000000, 25733.891275, 24249.000000, 40000.000000 
40000, 27865.441175, 79999.000000, 7866.637675, 39862.000000, 25746.750700, 24279.000000, 40000.000000 
40000, 27852.518175, 79999.000000, 7853.715650, 39905.000000, 25716.860313, 24201.000000, 40000.000000 
40000, 27782.605137, 79999.000000, 7783.803287, 39793.000000, 25702.571137, 24147.000000, 40000.000000 
40000, 27882.082350, 79999.000000, 7883.276963, 39799.000000, 25779.316850, 24430.000000, 40000.000000 
40000, 27844.994150, 79999.000000, 7846.190787, 39813.000000, 25730.889162, 24268.000000, 40000.000000 
40000, 27910.180950, 79999.000000, 7911.376675, 39909.000000, 25759.874125, 24341.000000, 40000.000000 
40000, 27873.543025, 79999.000000, 7874.740813, 39895.000000, 25719.690525, 24176.000000, 40000.000000 
40000, 27837.494038, 79999.000000, 7838.691488, 39941.000000, 25712.847513, 24203.000000, 40000.000000 
40000, 27833.730325, 79999.000000, 7834.928362, 39866.000000, 25720.600338, 24156.000000, 40000.000000 
40000, 27912.845587, 79999.000000, 7914.041512, 39812.000000, 25761.949163, 24325.000000, 40000.000000 
40000, 27887.122687, 79999.000000, 7888.317788, 39660.000000, 25763.485025, 24391.000000, 40000.000000 
40000, 27818.360375, 79999.000000, 7819.557537, 39916.000000, 25721.137575, 24226.000000, 40000.000000 
40000, 27873.426912, 79999.000000, 7874.622850, 39830.000000, 25773.753375, 24324.000000, 40000.000000 
40000, 27858.022300, 79999.000000, 7859.217600, 39838.000000, 25761.051387, 24375.000000, 40000.000000 
50000, 34810.141870, 99999.000000, 9811.338750, 49774.000000, 32126.633780, 30311.000000, 50000.000000 
50000, 34820.682880, 99999.000000, 9821.880750, 49829.000000, 32146.891310, 30212.000000, 50000.000000 
