n porównania czas
1000 17 1000
2000 17 1000
3000 21 2000
4000 19 2000
5000 19 1000
6000 23 1000
7000 23 1000
8000 25 1000
9000 25 1000
10000 23 1000
11000 13 1000
12000 23 1000
13000 23 1000
14000 25 1000
15000 15 1000
16000 21 1000
17000 25 1000
18000 25 1000
19000 23 1000
20000 25 1000
21000 27 1000
22000 25 1000
23000 21 2000
24000 27 1000
25000 23 3000
26000 29 2000
27000 25 1000
28000 29 1000
29000 29 1000
30000 21 1000
31000 27 2000
32000 29 1000
33000 29 1000
34000 25 1000
35000 29 1000
36000 27 1000
37000 27 1000
38000 27 1000
39000 29 1000
40000 27 1000
41000 23 1000
42000 27 2000
43000 23 1000
44000 29 1000
45000 29 2000
46000 27 1000
47000 25 1000
48000 31 1000
49000 27 1000
50000 31 1000
51000 29 1000
52000 23 1000
53000 29 1000
54000 27 1000
55000 29 1000
56000 31 1000
57000 19 0
58000 31 1000
59000 31 1000
60000 31 1000
61000 25 1000
62000 29 1000
63000 27 2000
64000 29 3000
65000 29 1000
66000 29 2000
67000 31 1000
68000 31 3000
69000 27 1000
70000 23 1000
71000 29 1000
72000 31 1000
73000 31 1000
74000 29 2000
75000 31 1000
76000 31 4000
77000 29 1000
78000 33 1000
79000 27 1000
80000 21 1000
81000 31 1000
82000 23 1000
83000 27 1000
84000 33 2000
85000 31 1000
86000 31 1000
87000 21 1000
88000 27 1000
89000 27 2000
90000 31 1000
91000 27 0
92000 25 2000
93000 29 1000
94000 27 1000
95000 33 1000
96000 27 1000
97000 23 1000
98000 31 1000
99000 33 2000
100000 31 1000
