n przestawienia porównania czas
1200 9394 10007 0.106
100 732 820 0.012
100 781 844 0.013
100 770 804 0.013
100 795 793 0.012
100 815 807 0.013
100 768 753 0.013
100 772 756 0.011
100 718 724 0.009
100 820 916 0.014
100 695 748 0.01
100 770 749 0.01
100 793 827 0.01
100 791 783 0.011
100 868 947 0.012
100 762 817 0.01
100 795 826 0.014
100 769 810 0.01
100 775 807 0.011
100 788 798 0.011
100 706 747 0.01
100 782 809 0.016
100 807 937 0.011
100 771 789 0.01
100 701 739 0.011
100 760 800 0.012
100 771 881 0.015
100 744 773 0.01
100 762 767 0.01
100 667 659 0.01
100 735 756 0.01
100 717 686 0.01
100 729 741 0.01
100 684 743 0.01
100 783 757 0.011
100 745 749 0.01
100 753 734 0.011
100 617 575 0.009
100 847 844 0.013
100 728 715 0.011
100 727 782 0.012
100 749 784 0.012
100 762 793 0.011
100 742 800 0.01
100 780 827 0.01
100 748 794 0.011
100 796 773 0.011
100 865 860 0.015
100 716 744 0.011
100 692 665 0.01
100 690 681 0.01
100 824 911 0.011
100 800 859 0.012
100 694 745 0.01
100 674 712 0.011
100 829 855 0.011
100 734 749 0.01
100 706 706 0.011
100 802 846 0.011
100 733 772 0.01
100 779 812 0.011
100 668 702 0.01
100 794 823 0.012
100 837 876 0.012
100 766 819 0.012
100 780 745 0.011
100 705 735 0.01
100 704 723 0.011
100 793 782 0.011
100 731 809 0.011
100 688 702 0.009
100 722 732 0.009
100 736 813 0.011
100 833 883 0.011
100 825 823 0.012
100 702 670 0.01
100 826 835 0.011
100 727 720 0.009
100 722 715 0.01
100 759 782 0.011
100 819 874 0.011
100 681 762 0.01
100 640 684 0.01
100 677 643 0.011
100 709 771 0.014
100 733 707 0.01
100 687 726 0.011
100 754 723 0.011
100 686 746 0.01
100 824 862 0.011
100 802 836 0.013
100 738 770 0.011
100 843 825 0.012
100 740 819 0.01
100 835 889 0.012
100 872 925 0.011
100 705 686 0.009
100 733 789 0.011
100 803 885 0.011
100 733 723 0.011
200 1695 1780 0.022
200 1527 1550 0.021
200 1530 1619 0.025
200 1621 1586 0.028
200 1472 1546 0.018
200 1641 1645 0.019
200 1608 1583 0.019
200 1560 1582 0.02
200 1529 1646 0.032
200 1440 1427 0.019
200 1500 1613 0.019
200 1542 1574 0.018
200 1516 1558 0.019
200 1435 1387 0.019
200 1538 1583 0.018
200 1558 1612 0.019
200 1410 1488 0.018
200 1454 1391 0.024
200 1306 1259 0.018
200 1526 1522 0.017
200 1490 1620 0.019
200 1498 1488 0.019
200 1453 1430 0.017
200 1520 1468 0.019
200 1564 1678 0.019
200 1486 1498 0.019
200 1533 1592 0.022
200 1645 1659 0.019
200 1502 1507 0.019
200 1448 1419 0.017
200 1594 1583 0.018
200 1527 1526 0.019
200 1515 1513 0.019
200 1462 1520 0.019
200 1410 1422 0.017
200 1491 1485 0.019
200 1546 1631 0.024
200 1626 1789 0.02
200 1528 1612 0.02
200 1582 1564 0.018
200 1664 1704 0.028
200 1535 1538 0.018
200 1668 1700 0.02
200 1469 1531 0.018
200 1583 1663 0.019
200 1550 1709 0.027
200 1474 1438 0.018
200 1461 1434 0.019
200 1607 1668 0.02
200 1562 1502 0.02
200 1582 1748 0.024
200 1483 1489 0.018
200 1487 1641 0.019
200 1719 1840 0.022
200 1565 1732 0.018
200 1539 1678 0.019
200 1616 1647 0.02
200 1650 1639 0.019
200 1618 1706 0.019
200 1502 1633 0.02
200 1529 1544 0.019
200 1469 1483 0.027
200 1545 1680 0.018
200 1567 1606 0.019
200 1604 1666 0.026
200 1480 1504 0.018
200 1537 1630 0.018
200 1577 1624 0.02
200 1480 1571 0.018
200 1489 1483 0.019
200 1662 1695 0.025
200 1449 1511 0.019
200 1543 1610 0.019
200 1545 1710 0.019
200 1590 1614 0.019
200 1467 1474 0.017
200 1463 1590 0.019
200 1551 1566 0.019
200 1563 1543 0.018
200 1442 1458 0.017
200 1492 1668 0.02
200 1427 1421 0.017
200 1682 1626 0.02
200 1482 1492 0.018
200 1598 1563 0.02
200 1545 1669 0.025
200 1466 1528 0.018
200 1576 1537 0.019
200 1551 1616 0.019
200 1496 1474 0.018
200 1424 1394 0.018
200 1729 1781 0.024
200 1463 1433 0.019
200 1491 1622 0.02
200 1463 1592 0.02
200 1527 1562 0.018
200 1605 1670 0.02
200 1507 1465 0.019
200 1653 1754 0.02
200 1557 1759 0.025
300 2404 2447 0.03
300 2043 1988 0.024
300 2390 2470 0.027
300 2204 2077 0.032
300 2238 2254 0.025
300 2299 2328 0.026
300 2194 2199 0.025
300 2596 2641 0.028
300 2302 2312 0.025
300 2450 2508 0.027
300 2385 2401 0.027
300 2421 2311 0.026
300 2426 2316 0.038
300 2368 2379 0.026
300 2294 2260 0.027
300 2332 2229 0.025
300 2425 2709 0.031
300 2412 2481 0.027
300 2271 2233 0.025
300 2385 2486 0.027
300 2254 2308 0.025
300 2253 2301 0.026
300 2288 2450 0.027
300 2257 2375 0.026
300 2355 2457 0.027
300 2285 2231 0.027
300 2463 2585 0.037
300 2289 2348 0.04
300 2437 2716 0.028
300 2410 2397 0.026
300 2264 2415 0.027
300 2431 2493 0.034
300 2328 2286 0.026
300 2275 2376 0.026
300 2381 2487 0.028
300 2278 2341 0.04
300 2384 2313 0.026
300 2172 2339 0.026
300 2302 2321 0.03
300 2174 2436 0.027
300 2332 2590 0.027
300 2520 2470 0.027
300 2300 2305 0.033
300 2294 2230 0.027
300 2446 2609 0.028
300 2433 2488 0.033
300 2489 2550 0.026
300 2403 2525 0.027
300 2265 2213 0.035
300 2356 2346 0.028
300 2252 2353 0.026
300 2319 2198 0.025
300 2300 2504 0.029
300 2156 2301 0.026
300 2352 2440 0.037
300 2246 2335 0.034
300 2286 2512 0.026
300 2290 2356 0.026
300 2139 2449 0.025
300 2285 2442 0.027
300 2232 2294 0.026
300 2358 2408 0.026
300 2276 2265 0.027
300 2399 2353 0.032
300 2359 2324 0.024
300 2306 2202 0.026
300 2495 2539 0.029
300 2231 2174 0.026
300 2412 2541 0.027
300 2274 2476 0.025
300 2287 2305 0.027
300 2347 2516 0.026
300 2398 2627 0.026
300 2361 2308 0.027
300 2271 2349 0.026
300 2257 2361 0.026
300 2286 2453 0.025
300 2163 2305 0.025
300 2441 2608 0.029
300 2382 2391 0.026
300 2470 2544 0.044
300 2376 2449 0.029
300 2217 2364 0.026
300 2308 2357 0.027
300 2368 2319 0.026
300 2341 2517 0.038
300 2260 2314 0.026
300 2257 2220 0.043
300 2410 2438 0.03
300 2187 2360 0.032
300 2179 2222 0.038
300 2279 2201 0.025
300 2304 2502 0.027
300 2209 2185 0.026
300 2283 2198 0.025
300 2443 2596 0.028
300 2279 2091 0.024
300 2380 2244 0.026
300 2197 2329 0.026
300 2337 2562 0.026
400 3339 3390 0.036
400 3388 3481 0.036
400 3294 3173 0.044
400 3220 3314 0.035
400 3468 3448 0.035
400 3229 3214 0.034
400 3006 2956 0.032
400 2877 2804 0.04
400 3137 3458 0.042
400 3162 3115 0.052
400 3069 3338 0.044
400 3039 2933 0.035
400 3142 3341 0.036
400 2973 2944 0.034
400 3040 3327 0.034
400 3209 3450 0.034
400 3074 3013 0.034
400 2953 3289 0.035
400 2990 2972 0.046
400 3256 3204 0.036
400 3065 2926 0.034
400 3032 2922 0.035
400 3035 3043 0.033
400 3247 3613 0.036
400 3109 3457 0.054
400 3130 3173 0.031
400 3063 3171 0.034
400 3193 3226 0.046
400 3086 3118 0.033
400 2846 2808 0.032
400 2881 2986 0.031
400 3351 3417 0.034
400 3132 2923 0.033
400 3235 3355 0.036
400 3028 2920 0.034
400 3120 3088 0.033
400 3209 3246 0.035
400 3036 3060 0.047
400 2992 2868 0.032
400 3189 3405 0.035
400 2992 3127 0.033
400 3255 3546 0.036
400 3056 3117 0.034
400 3141 3338 0.034
400 3164 3291 0.033
400 3306 3454 0.036
400 3173 3319 0.036
400 3110 3305 0.035
400 3146 3442 0.035
400 3202 3080 0.035
400 3082 3233 0.048
400 3238 3215 0.036
400 3259 3423 0.036
400 3260 3364 0.035
400 3059 3030 0.032
400 3085 3249 0.035
400 2940 2818 0.034
400 3369 3626 0.037
400 3179 3326 0.036
400 3043 3265 0.034
400 3047 3428 0.033
400 3402 3799 0.036
400 3124 3147 0.044
400 3100 3195 0.035
400 3014 3246 0.043
400 3019 2963 0.043
400 3063 2932 0.033
400 3213 3082 0.034
400 3077 3196 0.039
400 3103 3187 0.034
400 3020 3028 0.032
400 2928 2841 0.032
400 2970 2941 0.033
400 3403 3657 0.041
400 3124 3483 0.036
400 2982 3125 0.035
400 2819 2770 0.032
400 2935 2927 0.045
400 3113 3036 0.033
400 3186 3368 0.039
400 3302 3446 0.051
400 2925 2794 0.032
400 3102 3168 0.038
400 3037 3380 0.037
400 2995 3166 0.043
