n przestawienia porównania czas
1200 9484 11109 0.16
100 707 815 0.018
100 655 778 0.017
100 645 768 0.017
100 645 767 0.024
100 634 738 0.016
100 644 707 0.016
100 483 526 0.012
100 640 739 0.02
100 527 647 0.013
100 525 581 0.014
100 500 520 0.011
100 598 676 0.014
100 604 633 0.013
100 580 710 0.012
100 642 757 0.018
100 589 699 0.015
100 473 550 0.011
100 599 698 0.013
100 699 803 0.016
100 670 720 0.016
100 632 751 0.014
100 534 702 0.012
100 591 675 0.017
100 634 688 0.015
100 630 720 0.015
100 630 697 0.017
100 616 740 0.014
100 576 633 0.012
100 517 565 0.012
100 525 657 0.012
100 711 790 0.016
100 560 618 0.012
100 620 670 0.014
100 598 709 0.015
100 600 675 0.014
100 456 559 0.012
100 598 712 0.013
100 614 700 0.013
100 561 672 0.012
100 659 756 0.015
100 640 739 0.015
100 602 636 0.013
100 656 814 0.014
100 629 743 0.014
100 503 622 0.012
100 540 601 0.011
100 658 750 0.015
100 539 637 0.013
100 528 527 0.012
100 643 806 0.016
100 600 701 0.014
100 641 781 0.016
100 515 653 0.012
100 620 701 0.014
100 620 731 0.015
100 637 758 0.016
100 560 580 0.013
100 673 770 0.015
100 582 631 0.013
100 651 695 0.016
100 576 674 0.013
100 681 759 0.016
100 479 502 0.011
100 688 806 0.015
100 604 740 0.013
100 468 547 0.011
100 499 596 0.012
100 621 745 0.014
100 632 689 0.014
100 572 662 0.013
100 475 586 0.012
100 602 718 0.013
100 594 738 0.013
100 583 708 0.013
100 668 749 0.015
100 550 585 0.012
100 577 638 0.013
100 548 557 0.014
100 667 767 0.015
100 695 834 0.016
100 552 658 0.012
100 560 708 0.014
100 548 595 0.017
100 592 728 0.013
100 646 742 0.015
100 613 736 0.013
100 576 692 0.013
100 588 644 0.013
100 683 855 0.015
100 670 759 0.016
100 610 712 0.013
100 535 614 0.012
100 573 653 0.014
100 592 732 0.014
100 579 634 0.013
100 554 664 0.012
100 589 695 0.013
100 559 713 0.014
100 618 634 0.013
200 1386 1610 0.035
200 1374 1504 0.033
200 1497 1870 0.034
200 1243 1543 0.027
200 1163 1431 0.023
200 1308 1575 0.025
200 1332 1406 0.027
200 1256 1402 0.028
200 1311 1432 0.025
200 1262 1470 0.025
200 1273 1583 0.033
200 1450 1668 0.028
200 1391 1568 0.028
200 1045 1311 0.019
200 1409 1505 0.028
200 1117 1381 0.022
200 1297 1504 0.026
200 1216 1366 0.025
200 1311 1533 0.025
200 1230 1526 0.029
200 1349 1440 0.025
200 1316 1598 0.04
200 1359 1644 0.027
200 1195 1350 0.023
200 1366 1516 0.029
200 1267 1482 0.024
200 1352 1545 0.028
200 1428 1607 0.028
200 1160 1333 0.022
200 1302 1486 0.027
200 1291 1419 0.024
200 1189 1345 0.022
200 1524 1689 0.03
200 1224 1431 0.023
200 1381 1550 0.029
200 1007 1240 0.019
200 1251 1489 0.025
