n przestawienia porównania
500 862 1632
500 746 1634
500 1183 2852
500 539 1336
500 581 1216
500 840 1259
500 774 1269
500 856 1365
500 557 1944
500 1336 2944
500 655 1214
600 644 1301
600 723 2324
600 714 1614
600 1355 2876
600 1527 2283
600 1043 2276
600 1322 2552
600 597 1454
600 1450 1883
600 526 1217
600 1473 2923
600 1771 2736
600 1329 1826
600 2252 3045
600 1608 2293
600 1168 1711
600 814 1826
600 954 1784
600 693 1443
600 576 1993
600 768 1592
600 1003 2602
600 1359 2019
600 1277 2493
600 1286 2108
600 966 2003
600 890 1599
600 1050 1737
600 1121 1822
600 672 1818
600 1385 2894
600 1241 3042
600 1453 2345
600 1286 1700
600 940 1922
600 1196 2477
600 1170 2370
600 1121 1808
600 481 1516
600 880 1712
600 1508 2570
600 1639 2247
600 419 1171
600 690 1829
600 2014 3844
600 716 2213
600 1833 3173
600 930 1637
600 1429 2319
600 808 1230
600 678 1725
600 1365 2895
600 676 1077
600 939 1779
600 1103 2765
600 699 1449
600 1101 1851
600 1308 1780
600 1312 2291
600 1088 2272
600 912 2254
600 707 1202
600 789 2228
600 1058 1612
600 705 1500
600 346 1575
600 2063 2590
600 450 1189
600 1296 2422
600 300 601
600 715 1731
600 879 2022
600 669 1986
600 836 1338
600 1499 2616
600 1067 1745
600 986 2953
600 863 1428
600 996 1757
600 811 2013
600 1120 2050
600 1027 2444
600 624 1476
600 385 1955
600 1258 2326
600 686 1916
600 711 1678
600 614 1775
600 763 1542
600 337 950
600 863 1871
600 1074 1752
600 675 1214
600 637 939
600 2329 2931
600 1331 2288
600 1118 1607
600 792 1415
600 1179 2069
600 544 1227
700 1102 2903
700 429 1459
700 2532 3425
700 976 1853
700 1099 2580
700 1315 1957
700 1989 3878
700 1601 2863
700 1238 2219
700 869 2123
700 1292 3452
700 3166 3987
700 1327 3100
700 904 1641
700 1304 3091
700 2067 2516
700 1050 2847
700 1817 2464
700 573 1691
700 718 1216
700 1060 2459
700 884 1409
700 1093 1813
700 1385 1982
700 2301 3017
700 791 2345
700 1151 2579
700 1142 2526
700 937 1656
700 1850 3981
700 981 1494
700 1007 2811
700 2760 4414
700 860 2103
700 2074 3716
700 587 1416
700 1430 2509
700 643 1400
700 963 1808
700 1508 3447
700 846 3002
700 1613 2781
700 1632 2186
700 1253 1925
700 1413 2479
700 841 2279
700 1633 2401
700 1225 2145
700 1201 1814
700 811 1278
700 1066 1848
700 1512 2376
700 942 3094
700 1549 2682
700 1258 2540
700 1401 2841
700 1121 2456
700 1019 2158
700 1733 2732
700 1223 2564
700 866 2341
700 1167 2813
700 1056 2287
700 1579 3077
700 1038 2198
700 540 1428
700 998 2346
700 891 1759
700 1170 2417
700 1310 2892
700 1207 2173
700 2710 3969
700 1288 2594
700 1126 1717
700 588 2177
700 1514 3697
700 1108 2397
700 483 1197
700 1587 2849
700 1455 2428
700 987 3107
700 1167 2327
700 1665 3334
700 629 1677
700 1040 3231
700 765 2496
700 1309 2435
700 1516 2236
700 1453 3071
700 2196 3222
700 1443 2746
700 1049 2261
700 532 1794
700 708 1240
700 1977 2949
700 738 2035
700 1333 2540
700 1357 3001
700 1328 2561
700 1147 3012
800 535 1520
800 945 2311
800 1557 2827
800 1092 2177
800 1281 2769
800 1265 2702
800 2015 3213
800 1483 2556
800 849 1565
800 1099 2476
800 1082 2461
800 1525 3275
800 2650 3952
800 1709 3339
800 1927 3583
800 540 1469
800 1291 2801
800 783 2517
800 615 1745
800 965 1578
800 1504 2407
800 1071 3264
800 1051 2600
800 1060 1570
800 1505 3231
800 1400 3050
800 2815 4457
800 2071 2898
800 1574 2796
800 1006 1634
800 1230 2648
800 902 1389
800 1865 3001
800 1877 2697
800 1520 2435
800 808 1804
800 1678 3324
800 1005 2173
800 1026 3474
800 1359 2931
800 1345 2797
800 918 1842
800 1335 2132
800 1293 2253
800 2307 6065
800 602 1569
800 2261 3399
800 818 1794
800 1637 2529
800 946 2449
800 1293 2477
800 1190 2724
800 848 1941
800 597 1485
800 1228 2587
800 943 2465
800 992 2432
800 1059 2465
800 852 1933
800 1811 3811
800 1741 2632
800 1400 2794
800 802 1887
800 2145 3317
800 508 2238
800 1996 3504
800 699 1608
800 1595 2259
800 960 1684
800 896 1843
800 1485 4043
800 865 2116
800 1106 3037
800 1640 2955
800 1380 2588
800 1327 2730
800 637 1769
800 1559 2395
800 546 2712
800 849 2086
800 1431 2620
800 1106 1868
800 1260 4240
800 665 2429
800 2493 4124
800 1571 2375
800 833 2273
800 2172 2905
800 1111 2168
800 2239 3573
800 1147 2937
800 544 2158
800 1010 2575
800 1422 2487
800 946 1713
800 711 2743
800 818 2541
800 1294 3501
800 914 1587
800 1564 2271
900 1990 3740
900 1347 2533
900 738 2084
900 2743 4911
900 2568 4538
900 1038 4061
900 993 2811
900 1614 2759
900 1864 3227
900 1552 3195
900 1500 3051
900 1824 4701
900 2045 3631
900 942 2386
900 2501 4557
900 1613 3654
900 1687 3417
900 646 1611
900 1740 3259
