n przestawienia porównania czas
300 2003 2131 0.03
300 2144 2334 0.034
300 1991 2275 0.029
300 2061 2217 0.031
300 1799 2008 0.027
300 2022 2251 0.074
300 1895 1975 0.032
300 1951 2191 0.032
300 2028 2096 0.03
300 1917 2136 0.03
300 2064 2286 0.031
300 1866 2137 0.028
300 1952 2127 0.03
300 2136 2190 0.031
300 1964 1995 0.033
300 1948 1962 0.029
300 2028 2289 0.03
400 2623 2671 0.045
400 2575 2780 0.041
400 2702 3005 0.038
400 2805 3011 0.052
400 2598 2674 0.037
400 2331 2516 0.032
400 2744 2973 0.039
400 2487 2465 0.043
400 2810 3051 0.038
400 2450 2541 0.035
400 2623 2661 0.048
400 2574 2626 0.04
400 1416 1483 0.028
400 2769 2730 0.039
400 2668 2705 0.036
400 2719 2797 0.043
400 2651 3075 0.037
400 2689 2826 0.039
400 2794 2864 0.04
400 2214 2268 0.03
400 2600 2780 0.044
400 2676 2997 0.038
400 2780 2929 0.039
400 2324 2471 0.033
400 2571 2786 0.047
400 2824 2826 0.039
400 2687 2651 0.037
400 2722 2595 0.038
400 2709 2745 0.048
400 2588 2904 0.036
400 2593 3001 0.038
400 2602 3012 0.037
400 2755 2854 0.039
400 2708 3017 0.038
400 2710 2867 0.051
400 2704 3057 0.039
400 2636 2928 0.036
400 2759 2930 0.04
400 2475 2842 0.035
400 2801 2809 0.039
400 2545 2620 0.05
400 2622 2844 0.039
400 2794 2826 0.04
400 2450 2649 0.034
400 2798 3212 0.038
400 1421 1711 0.023
400 1354 1423 0.02
400 2604 3032 0.037
400 2651 2875 0.036
400 2538 2655 0.037
400 2738 3030 0.052
400 2657 2722 0.049
400 2594 2727 0.035
400 2681 2769 0.037
400 2606 3049 0.039
400 2702 2735 0.038
400 2644 2681 0.047
400 2705 2811 0.038
400 2653 2561 0.044
400 2668 2917 0.038
400 2616 2824 0.038
400 2372 2362 0.031
400 2700 2892 0.037
400 2757 2862 0.04
400 2643 2913 0.039
400 2830 3161 0.05
400 2688 3189 0.041
400 2649 2937 0.043
400 2303 2739 0.033
400 2603 2966 0.038
400 2677 2869 0.039
400 2678 2701 0.038
400 2634 2778 0.036
400 2542 2538 0.035
400 2856 3078 0.039
400 2694 2907 0.055
400 2824 3229 0.04
400 2601 2621 0.037
400 2647 2885 0.049
400 2465 2688 0.037
400 2749 2899 0.043
400 1162 1300 0.015
400 2485 2639 0.04
400 1465 1476 0.025
400 2629 2802 0.04
400 2490 2643 0.039
400 2723 2837 0.046
400 2635 2636 0.04
400 1436 1758 0.024
400 2526 2619 0.042
400 2756 3048 0.049
400 2564 2604 0.04
400 2595 2765 0.045
400 2752 2924 0.046
400 2383 2477 0.046
400 2627 2728 0.048
400 2681 2959 0.05
400 2665 3066 0.039
400 2786 2896 0.042
400 1378 1505 0.02
500 1781 1744 0.028
500 3122 3484 0.065
500 3364 3638 0.073
500 3485 3929 0.066
500 1854 2160 0.041
