n przestawienia porównania czas
1200 8476 8842 0.129
100 540 531 0.013
100 556 576 0.013
100 583 629 0.012
100 641 648 0.016
100 659 744 0.016
100 566 567 0.01
100 642 626 0.011
100 624 618 0.013
100 529 578 0.011
100 692 688 0.011
100 569 570 0.009
100 558 633 0.009
100 617 658 0.01
100 534 543 0.008
100 619 631 0.01
100 639 706 0.011
100 667 653 0.011
100 651 724 0.011
100 561 609 0.01
100 627 726 0.01
100 598 658 0.01
100 593 643 0.01
100 602 577 0.009
100 701 766 0.015
100 611 600 0.01
100 644 604 0.01
100 551 639 0.011
100 525 514 0.009
100 652 625 0.011
100 649 717 0.011
100 586 587 0.01
100 575 579 0.011
100 580 629 0.01
100 604 694 0.009
100 585 639 0.009
100 618 679 0.011
100 545 530 0.009
100 625 616 0.01
100 567 579 0.009
100 517 518 0.009
100 505 549 0.013
100 644 610 0.011
100 575 609 0.012
100 545 575 0.01
100 635 635 0.011
100 558 589 0.01
100 656 691 0.011
100 625 634 0.01
100 580 556 0.009
100 600 571 0.013
100 607 614 0.011
100 657 673 0.011
100 595 617 0.01
100 538 529 0.008
100 625 620 0.01
100 624 665 0.011
100 588 593 0.01
100 690 729 0.011
100 598 620 0.009
100 524 573 0.009
100 561 594 0.01
100 584 626 0.01
100 626 665 0.01
100 574 627 0.011
100 622 629 0.01
100 564 576 0.009
100 619 596 0.01
100 601 611 0.01
100 555 563 0.011
100 634 670 0.01
100 619 693 0.01
100 535 532 0.011
100 646 730 0.011
100 624 658 0.011
100 616 591 0.01
100 530 576 0.011
100 638 616 0.01
100 556 613 0.009
100 589 587 0.01
100 614 658 0.01
100 535 610 0.009
100 628 650 0.01
100 574 663 0.009
100 492 589 0.011
100 679 720 0.012
100 617 702 0.011
100 665 698 0.013
100 601 650 0.01
100 656 672 0.011
100 625 662 0.01
100 591 621 0.01
100 548 551 0.008
100 587 644 0.01
100 568 648 0.012
100 581 652 0.009
100 609 617 0.012
100 539 578 0.008
100 598 646 0.009
100 594 661 0.01
200 1283 1398 0.019
200 1224 1285 0.021
200 1274 1285 0.021
200 1244 1258 0.017
200 1162 1186 0.016
200 1210 1211 0.018
200 1220 1174 0.016
200 1231 1288 0.017
200 1291 1317 0.017
200 1339 1271 0.019
200 1304 1312 0.022
200 1244 1328 0.016
200 1271 1379 0.018
200 1224 1236 0.016
200 1308 1358 0.019
200 1152 1198 0.017
200 1380 1402 0.019
200 1301 1267 0.018
200 1296 1390 0.023
200 1275 1295 0.018
200 1220 1249 0.016
200 1343 1313 0.018
200 1245 1278 0.018
200 1351 1306 0.018
200 1298 1445 0.024
200 1350 1414 0.024
200 1285 1227 0.017
200 1263 1302 0.017
200 1250 1208 0.017
200 1188 1146 0.016
200 1231 1222 0.017
200 1182 1233 0.017
200 1129 1188 0.016
200 1198 1218 0.025
200 1289 1311 0.019
200 1283 1375 0.019
200 1297 1376 0.018
200 1290 1414 0.021
200 1325 1338 0.018
200 1228 1278 0.017
200 1239 1324 0.019
200 1282 1286 0.018
200 1239 1237 0.017
200 1290 1374 0.018
200 1215 1222 0.022
200 1348 1486 0.022
200 1266 1241 0.018
200 1359 1332 0.019
200 1336 1313 0.019
200 1311 1379 0.02
200 1163 1250 0.017
200 1246 1282 0.018
200 1357 1306 0.025
200 1410 1346 0.018
200 1165 1105 0.017
200 1282 1449 0.021
200 1239 1168 0.016
200 1247 1210 0.017
200 1280 1421 0.023
200 1210 1316 0.018
200 1273 1441 0.018
200 1318 1351 0.026
200 1232 1246 0.017
200 1220 1208 0.017
200 1329 1321 0.018
200 1296 1344 0.017
200 1335 1485 0.019
200 1312 1304 0.019
200 1258 1371 0.018
200 1327 1465 0.019
200 1258 1242 0.017
200 1357 1283 0.02
200 1277 1378 0.021
200 1281 1287 0.018
200 1257 1320 0.019
200 1261 1170 0.017
200 1282 1371 0.018
200 1190 1137 0.024
200 1301 1351 0.018
200 1280 1408 0.017
200 1320 1416 0.019
200 1314 1308 0.017
200 1383 1561 0.022
200 1156 1288 0.016
200 1247 1394 0.02
200 1250 1187 0.018
200 1360 1412 0.019
200 1192 1174 0.021
