n przestawienia porównania czas
300 2156 2249 0.037
300 2064 2299 0.029
300 2059 2252 0.029
300 2007 1989 0.025
300 2235 2373 0.029
300 2270 2372 0.029
300 2084 2207 0.028
300 2141 2128 0.033
300 2219 2275 0.029
300 2045 2004 0.027
300 2192 2289 0.029
300 2134 2175 0.028
300 2247 2413 0.034
300 2015 2041 0.028
300 2151 2312 0.03
300 1914 2165 0.024
300 2288 2347 0.029
300 2072 2225 0.027
400 2721 2873 0.037
400 2968 2976 0.036
400 2813 2909 0.037
400 3007 3043 0.036
400 2685 2782 0.033
400 2878 2811 0.046
400 2951 3047 0.035
400 2595 2567 0.031
400 2837 3070 0.036
400 2929 2878 0.036
400 2548 2530 0.04
400 2750 2748 0.047
400 2939 2877 0.036
400 2879 2952 0.036
400 2740 2655 0.046
400 2876 2947 0.035
400 2916 2938 0.037
400 2832 2844 0.036
400 2747 2804 0.037
400 2934 3100 0.037
400 2867 3062 0.035
400 2640 2455 0.056
400 2961 3222 0.036
400 2699 3042 0.037
400 2954 3083 0.036
400 2691 2916 0.033
400 2895 3327 0.037
400 2970 2960 0.037
400 2926 3033 0.036
400 2914 2920 0.037
400 2733 3059 0.034
400 2799 3001 0.036
400 2958 3180 0.037
400 2913 2867 0.033
400 2778 3012 0.041
400 2693 2838 0.033
400 2978 2877 0.036
400 2847 2683 0.033
400 2956 2957 0.04
400 3011 3304 0.038
400 2869 3060 0.037
400 2818 2738 0.036
400 2721 2671 0.033
400 2961 2920 0.037
400 2993 3151 0.035
400 2973 2990 0.039
400 2926 2966 0.037
400 3004 3110 0.036
400 2929 3189 0.038
400 2887 2926 0.036
400 2809 2971 0.037
400 2778 2890 0.046
400 2942 3200 0.035
400 2704 2695 0.033
400 2885 3158 0.035
400 2691 2681 0.034
400 2908 3167 0.046
400 2804 2956 0.034
400 2731 2584 0.036
400 2787 2929 0.034
400 2786 2962 0.035
400 3061 3112 0.043
400 2926 3010 0.04
400 3034 2995 0.037
400 2855 2795 0.037
400 2892 2938 0.036
400 2902 3158 0.045
400 2985 2931 0.042
400 2951 3063 0.036
400 2649 2780 0.035
400 2839 2913 0.036
400 2722 2949 0.038
400 2620 2571 0.032
400 2862 2802 0.035
400 2997 3096 0.037
400 3010 3114 0.042
400 2937 3131 0.039
400 2747 2813 0.034
400 2634 2579 0.032
400 2783 2853 0.043
400 2989 3044 0.038
400 2848 2929 0.041
400 2828 2894 0.038
400 2998 2987 0.041
400 2766 2995 0.046
400 2901 3003 0.041
400 2697 2958 0.044
400 2893 2877 0.041
400 2757 2780 0.056
400 2961 3222 0.041
400 2818 3066 0.049
400 2813 3245 0.04
400 3078 3184 0.04
400 2913 2928 0.042
400 2703 2880 0.038
400 2875 3072 0.041
400 2848 2975 0.038
400 3004 3055 0.042
400 2764 2842 0.035
400 2598 2507 0.033
500 3647 3830 0.051
500 3474 3610 0.051
500 3602 3608 0.062
500 3511 3669 0.055
500 3572 3406 0.051
500 3600 3531 0.052
500 3476 3344 0.067
500 3293 3513 0.048
500 3802 3988 0.05
500 3575 3586 0.048
500 3508 3761 0.049
500 3471 3602 0.049
500 3530 3908 0.051
500 3681 4054 0.053
500 3498 3565 0.05
500 3444 3659 0.052
500 3843 3873 0.051
500 3558 3645 0.048
500 3421 3517 0.052
500 3625 3663 0.074
500 3301 3292 0.045
500 3387 3750 0.064
500 3703 3777 0.066
500 3525 3562 0.05
500 3516 3557 0.05
500 3671 4260 0.066
500 3523 3914 0.06
500 3844 3823 0.047
500 3496 3464 0.071
500 3699 3567 0.043
500 3457 3767 0.042
500 3514 3438 0.044
500 3603 3601 0.044
500 3691 3784 0.045
500 3576 4052 0.052
500 3388 3399 0.042
500 3228 3659 0.04
500 3497 3831 0.06
500 3683 3764 0.05
500 3623 3660 0.053
500 3652 3795 0.071
500 3479 3721 0.058
500 3427 3360 0.05
500 3625 3814 0.075
500 3620 3705 0.064
500 3480 3461 0.051
500 3482 3871 0.06
500 3775 3839 0.06
500 3398 3307 0.048
500 3590 3866 0.057
500 3889 3981 0.053
500 3607 3593 0.05
500 3390 3407 0.046
500 3595 3743 0.067
500 3809 4023 0.054
500 3414 3727 0.062
500 3599 4009 0.054
500 3597 3777 0.066
500 3705 3893 0.051
500 3459 3733 0.052
500 3609 3536 0.051
500 3330 3117 0.043
500 3559 3719 0.066
500 3662 3830 0.059
500 3565 3675 0.053
500 3622 4049 0.065
500 3668 3863 0.048
500 3555 3854 0.073
500 3590 3588 0.049
500 3529 3593 0.059
500 3737 3703 0.046
500 3579 4101 0.044
500 3547 3920 0.045
500 3517 3540 0.057
500 3857 3961 0.045
500 3483 3542 0.042
500 3749 3798 0.045
500 3729 3617 0.044
500 3523 3553 0.06
500 3592 3905 0.046
500 3436 3343 0.048
500 3430 3535 0.062
500 3534 3958 0.058
500 3533 3531 0.064
500 3644 3953 0.054
500 3527 3749 0.068
500 3343 3431 0.05
500 3612 3841 0.077
500 3434 3743 0.049
500 3718 3965 0.069
500 3644 3968 0.052
500 3384 3400 0.065
500 3535 3817 0.07
500 3384 3996 0.065
500 3472 3570 0.061
500 3671 3939 0.056
500 3833 4046 0.064
500 3435 3515 0.054
500 3838 3805 0.053
500 3667 3666 0.046
600 4282 4386 0.072
600 4395 4632 0.06
600 4570 4919 0.053
600 4452 4777 0.054
600 4201 4673 0.072
600 4151 4039 0.049
600 4288 4391 0.063
600 4185 4339 0.05
600 4388 4588 0.051
600 4249 4489 0.05
600 4208 4162 0.051
600 4352 4755 0.056
600 4281 4286 0.05
600 4211 4258 0.052
600 4262 4498 0.048
600 4010 3795 0.047
600 4566 4411 0.053
600 4289 4206 0.054
600 4286 4637 0.05
600 4072 4277 0.046
600 4366 4156 0.05
600 4409 4798 0.057
600 4114 4137 0.05
600 4530 4374 0.052
600 4079 4511 0.06
600 4411 4610 0.062
600 4427 4380 0.052
600 4496 4587 0.053
600 4480 4805 0.053
600 4135 4309 0.049
600 4439 4829 0.058
600 4587 5004 0.055
600 4284 4407 0.051
600 4643 4617 0.052
600 4505 4807 0.053
600 4336 4403 0.05
600 4196 4230 0.049
600 4114 4093 0.048
600 4303 4301 0.051
600 4584 4801 0.052
600 4222 4384 0.05
600 4274 4404 0.053
600 4476 4539 0.053
600 4505 4452 0.052
600 4192 4529 0.049
600 3971 4327 0.047
600 4150 4092 0.047
600 4221 4163 0.048
600 3923 3953 0.048
600 4268 4262 0.056
600 3931 3930 0.052
600 4306 4298 0.051
600 4262 4373 0.048
600 4533 4787 0.05
600 4102 3929 0.047
600 4158 4401 0.05
600 4270 4670 0.053
600 4417 4227 0.052
600 4209 4562 0.051
600 4352 4574 0.051
600 4132 4253 0.048
600 4014 4387 0.051
600 4613 4918 0.054
