n przestawienia porównania czas
1200 9492 11125 0.162
100 695 798 0.018
100 382 470 0.01
100 725 833 0.022
100 693 837 0.021
100 687 834 0.018
100 703 769 0.016
100 538 562 0.013
100 675 795 0.014
100 548 685 0.012
100 568 587 0.013
100 585 668 0.012
100 686 789 0.015
100 692 759 0.015
100 335 423 0.007
100 664 792 0.015
100 371 417 0.008
100 538 642 0.011
100 597 676 0.013
100 728 848 0.017
100 727 779 0.017
100 626 804 0.014
100 643 833 0.015
100 641 741 0.014
100 633 745 0.015
100 632 732 0.017
100 679 749 0.016
100 654 757 0.014
100 594 638 0.016
100 610 678 0.014
100 567 720 0.013
100 752 860 0.016
100 627 698 0.014
100 646 719 0.014
100 648 802 0.015
100 651 739 0.018
100 551 667 0.012
100 614 740 0.014
100 698 786 0.014
100 594 715 0.014
100 613 694 0.014
100 738 856 0.016
100 578 607 0.014
100 724 869 0.017
100 358 419 0.008
100 585 702 0.012
100 555 613 0.016
100 373 424 0.009
100 611 708 0.014
100 556 561 0.012
100 644 773 0.016
100 653 774 0.016
100 387 477 0.009
100 620 774 0.015
100 356 392 0.009
100 690 779 0.015
100 656 770 0.016
100 285 283 0.007
100 707 831 0.017
100 610 708 0.013
100 673 694 0.017
100 547 636 0.012
100 713 810 0.016
100 516 572 0.011
100 754 863 0.017
100 685 804 0.015
100 599 693 0.014
100 514 570 0.011
100 678 798 0.02
100 369 388 0.008
100 613 736 0.014
100 615 707 0.014
100 680 811 0.016
100 654 751 0.014
100 680 800 0.015
100 686 769 0.015
100 540 565 0.012
100 569 640 0.012
100 599 607 0.014
100 711 790 0.016
100 756 885 0.02
100 651 772 0.015
100 683 831 0.016
100 540 540 0.013
100 634 754 0.015
100 632 705 0.017
100 626 761 0.014
100 655 765 0.015
100 622 683 0.015
100 733 903 0.016
100 676 775 0.018
100 348 442 0.008
100 606 702 0.013
100 648 722 0.016
100 720 869 0.017
100 614 683 0.014
100 340 423 0.008
100 528 613 0.012
