n przestawienia porównania czas
300 2145 2153 0.032
300 2147 2084 0.024
300 2259 2317 0.026
300 2265 2499 0.025
300 2061 2091 0.023
300 2206 2278 0.026
300 2293 2415 0.033
300 2170 2272 0.027
300 2042 2220 0.025
300 2239 2132 0.028
300 2202 2299 0.024
300 2013 1971 0.023
300 2185 2193 0.024
300 2277 2407 0.026
300 2453 2457 0.026
300 2116 2024 0.024
300 2144 2115 0.025
300 2256 2374 0.025
400 2956 3022 0.035
400 2931 3008 0.032
400 2876 2741 0.032
400 2856 3059 0.032
400 2959 2919 0.032
400 2922 2976 0.041
400 2868 2790 0.03
400 2921 2859 0.031
400 2817 3040 0.03
400 3050 2999 0.044
400 2918 3132 0.04
400 2718 2778 0.043
400 3080 3106 0.033
400 3090 3108 0.033
400 3023 3334 0.033
400 3000 3186 0.033
400 2878 2935 0.034
400 2802 3002 0.031
400 3021 2938 0.033
400 2778 2739 0.031
400 2955 2805 0.032
400 2956 2851 0.032
400 2819 2885 0.032
400 3060 3220 0.034
400 2915 3305 0.033
400 2958 2909 0.031
400 2914 3102 0.036
400 2832 2814 0.031
400 2999 3072 0.032
400 2797 2745 0.032
400 2703 2842 0.03
400 2991 3083 0.031
400 2939 2898 0.031
400 2977 3201 0.048
400 2667 2609 0.03
400 3116 3112 0.034
400 2803 2826 0.035
400 2945 2983 0.032
400 2878 2711 0.03
400 3132 3272 0.033
400 3007 3178 0.037
400 2785 3043 0.032
400 2873 3143 0.032
400 2973 3213 0.033
400 2917 3239 0.032
400 2815 2911 0.032
400 2885 2983 0.032
400 2854 3172 0.032
400 2875 3084 0.039
400 2938 2814 0.033
400 3027 3173 0.033
400 3081 3079 0.047
400 2901 2991 0.041
400 2879 3013 0.032
400 2913 2812 0.033
400 2803 2897 0.032
400 2918 2879 0.035
400 2947 3215 0.032
400 2979 3096 0.033
400 2945 3362 0.034
400 2871 3086 0.035
400 2953 3144 0.037
400 2806 2838 0.032
400 2727 2987 0.035
400 2904 3328 0.035
400 2953 2963 0.033
400 2773 2661 0.03
400 2730 2588 0.035
400 2921 2985 0.032
400 3093 3149 0.033
400 2678 2681 0.03
400 3043 2916 0.031
400 2966 2873 0.032
400 2861 3071 0.037
400 2865 3070 0.031
400 2918 3009 0.033
400 2752 2683 0.029
400 2901 2846 0.036
400 2963 3026 0.032
400 2966 3101 0.044
400 2863 2963 0.037
400 2746 2709 0.029
400 2832 3015 0.043
400 2786 2917 0.04
400 2856 3158 0.039
400 2911 2988 0.055
400 2886 2836 0.04
400 3024 2869 0.042
400 2953 3150 0.052
400 2959 3053 0.045
400 2887 2888 0.04
400 2879 3208 0.039
400 2918 3189 0.036
400 2930 2838 0.041
400 2904 2982 0.041
400 3089 3345 0.038
400 2885 2802 0.033
400 2908 2784 0.034
400 3079 3013 0.032
400 2793 2939 0.031
500 3616 3803 0.045
500 3776 3810 0.048
500 3699 3762 0.045
500 3791 3699 0.063
500 3802 4111 0.056
500 3821 4081 0.048
500 3696 3646 0.058
500 3595 3703 0.058
500 3672 3476 0.041
500 3777 3806 0.046
500 3723 3806 0.054
500 3735 4233 0.054
500 3567 3669 0.047
500 3682 3847 0.047
500 3827 3942 0.047
500 3891 3881 0.068
500 3706 3573 0.042
500 3656 3621 0.044
500 3798 4212 0.051
500 4051 4058 0.062
500 3496 3642 0.044
500 3705 3490 0.053
500 3902 3750 0.063
500 3902 3832 0.049
500 3824 3710 0.047
500 3680 3740 0.054
500 3789 3783 0.043
500 3736 3956 0.043
500 3796 3934 0.047
500 3555 3479 0.054
500 4049 3987 0.043
500 3625 3875 0.049
500 3738 3706 0.047
500 3587 3419 0.037
500 3708 3845 0.056
500 3692 3813 0.041
500 3648 3775 0.04
500 3629 3697 0.046
500 3420 3361 0.07
500 3747 4031 0.079
500 3562 3828 0.057
500 3892 3947 0.05
500 3591 3844 0.056
500 3680 3708 0.058
500 3570 3542 0.046
500 3576 3790 0.066
500 3646 3813 0.059
500 3839 3928 0.055
500 3878 3871 0.047
500 3817 3773 0.064
500 3782 3922 0.048
500 3853 4056 0.048
500 3477 3418 0.048
500 3444 3661 0.057
500 3669 3859 0.046
500 3694 4054 0.047
500 3914 4176 0.065
500 3868 3989 0.064
500 3681 3733 0.045
500 3483 3421 0.05
500 3735 3769 0.053
500 3572 3956 0.046
500 3834 3845 0.047
500 3754 3698 0.061
500 3843 3985 0.044
500 3601 3654 0.044
500 3632 3717 0.041
500 3842 4240 0.058
500 3708 3918 0.063
500 3856 3999 0.048
500 3439 3490 0.048
500 3543 3786 0.04
500 3729 3979 0.041
500 3779 4057 0.041
500 3733 3783 0.04
500 3726 3675 0.039
500 3703 3731 0.039
500 3740 3644 0.04
500 3656 3727 0.041
500 3717 3863 0.041
500 3844 3646 0.042
500 3708 3644 0.062
500 3612 3682 0.044
500 3602 3671 0.055
500 3743 3924 0.049
500 3646 3705 0.056
500 3674 3861 0.065
500 3554 3843 0.047
500 3700 4058 0.051
500 3636 3551 0.055
500 3813 4170 0.058
500 3929 4147 0.062
500 3511 3547 0.055
500 3577 3564 0.047
500 3783 3771 0.061
500 3859 3697 0.048
500 3580 3683 0.047
500 3724 3480 0.054
500 3638 3590 0.047
500 3488 3479 0.04
600 4310 4300 0.051
600 4665 4666 0.053
600 4590 4416 0.049
600 4369 4484 0.049
600 4639 4514 0.049
600 4414 4663 0.05
600 4523 4627 0.047
600 4669 4489 0.047
600 4507 4528 0.095
600 4185 4283 0.042
600 4555 4795 0.049
600 4546 4987 0.05
600 4194 4601 0.043
600 4468 4306 0.047
600 4557 4715 0.055
600 4460 4381 0.045
600 4418 4896 0.047
600 4123 4268 0.057
600 4777 4834 0.063
600 4591 4597 0.057
600 4542 4433 0.048
600 4544 4555 0.045
600 4395 4509 0.047
600 4649 4731 0.048
600 4530 4599 0.047
600 4299 4332 0.046
600 4679 4612 0.066
600 4615 5046 0.053
600 4711 4908 0.051
600 4401 4413 0.045
600 4519 4917 0.052
600 4583 4423 0.049
600 4561 4673 0.049
600 4409 4633 0.046
600 4259 4279 0.044
600 4573 4658 0.047
600 4296 4163 0.052
600 4652 4607 0.048
600 4375 4531 0.044
600 4677 4750 0.061
600 4536 4627 0.046
600 4460 4898 0.054
600 4304 4112 0.043
600 4221 4393 0.043
600 4379 4613 0.044
600 4481 4857 0.046
600 4535 4576 0.046
600 4275 4657 0.044
600 4593 4519 0.047
600 4464 4544 0.047
600 4710 4927 0.048
600 4554 4334 0.047
600 4635 4457 0.047
600 4621 4613 0.046
600 4569 4523 0.057
600 4797 4723 0.049
600 4468 4813 0.046
600 4443 4413 0.054
600 4508 4690 0.048
600 4483 4662 0.046
600 4560 4802 0.046
600 4605 4706 0.05
600 4494 4902 0.047
600 4398 4202 0.045
600 4565 4361 0.048
600 4364 4358 0.044
600 4415 4295 0.044
600 4656 5088 0.049
600 4556 4575 0.045
600 4544 4934 0.049
600 4468 4691 0.047
600 4530 4826 0.047
600 4567 4674 0.047
600 4556 4855 0.046
600 4271 4106 0.045
600 4517 4568 0.047
600 4093 4380 0.042
600 4386 4256 0.044
600 4377 4709 0.047
600 4698 5112 0.049
600 4613 4374 0.045
600 4501 4731 0.048
600 4334 4696 0.045
600 4460 4821 0.047
600 4483 4237 0.065
600 4381 4497 0.045
600 4494 4439 0.046
600 4783 4766 0.052
600 4604 4581 0.046
600 4569 4553 0.057
600 4440 4657 0.048
600 4475 4403 0.046
600 4185 4250 0.043
600 4541 4760 0.049
600 4507 4366 0.046
600 4493 4952 0.054
600 4573 4540 0.047
600 4595 4871 0.047
600 4473 4398 0.044
600 4356 4424 0.047
700 5010 5485 0.073
700 4876 5106 0.055
700 5414 5466 0.061
700 5288 5690 0.053
700 5207 5006 0.05
700 5314 5578 0.056
700 5331 5518 0.056
700 5389 5633 0.06
700 5199 5519 0.052
700 5372 5576 0.053
700 5195 5153 0.051
700 5495 5609 0.056
700 5274 5357 0.055
700 5362 5656 0.054
700 5156 5511 0.052
700 5468 5516 0.059
700 5327 5458 0.054
700 5135 5387 0.055
700 5408 5809 0.056
700 5344 5419 0.08
700 5246 5440 0.053
700 5508 5675 0.054
700 5074 5070 0.069
700 5460 5366 0.055
700 5030 4948 0.077
700 5475 5790 0.058
700 5311 5255 0.053
700 5477 5613 0.06
700 4974 4931 0.05
700 5281 5519 0.053
700 5410 5507 0.056
700 5383 5740 0.055
700 5370 5770 0.055
700 5378 5287 0.054
700 5369 5877 0.057
700 5425 5797 0.052
700 5373 5662 0.056
