n przestawienia porównania czas
1200 9240 9892 0.11
100 688 732 0.011
100 679 729 0.012
100 644 682 0.011
100 682 664 0.011
100 667 674 0.011
100 617 608 0.01
100 711 685 0.01
100 751 751 0.01
100 656 714 0.01
100 618 691 0.009
100 719 681 0.012
100 834 896 0.012
100 726 701 0.011
100 700 763 0.01
100 660 720 0.01
100 718 728 0.009
100 656 699 0.009
100 746 755 0.011
100 700 670 0.012
100 647 689 0.01
100 694 715 0.011
100 663 757 0.01
100 695 705 0.01
100 788 818 0.011
100 736 788 0.011
100 631 719 0.013
100 676 674 0.01
100 393 385 0.005
100 709 703 0.012
100 764 793 0.01
100 597 572 0.01
100 633 626 0.009
100 669 714 0.009
100 757 734 0.011
100 734 724 0.01
100 379 364 0.006
100 651 599 0.009
100 755 756 0.009
100 664 652 0.01
100 724 790 0.01
100 719 754 0.011
100 646 685 0.009
100 409 467 0.005
100 697 724 0.009
100 696 735 0.01
100 728 718 0.01
100 757 753 0.011
100 767 778 0.011
100 642 630 0.009
100 726 677 0.011
100 822 887 0.011
100 400 428 0.006
100 736 780 0.01
100 803 840 0.021
100 778 806 0.011
100 381 382 0.006
100 370 345 0.004
100 723 769 0.01
100 689 704 0.012
100 622 645 0.009
100 657 681 0.01
100 709 762 0.012
100 388 371 0.005
100 689 736 0.01
100 397 362 0.005
100 743 737 0.011
100 668 671 0.013
100 715 676 0.01
100 700 759 0.01
100 772 813 0.011
100 366 357 0.005
100 645 708 0.011
100 669 705 0.009
100 717 713 0.011
100 696 679 0.01
100 411 385 0.006
100 844 820 0.011
100 685 653 0.01
100 840 910 0.012
100 693 741 0.009
100 647 736 0.009
100 792 843 0.01
100 696 669 0.011
100 699 749 0.01
100 762 747 0.01
100 821 857 0.015
100 652 616 0.01
100 691 763 0.013
100 829 858 0.012
100 699 738 0.013
100 690 715 0.01
100 667 641 0.009
100 653 736 0.01
100 427 466 0.007
100 717 777 0.009
100 734 700 0.01
100 689 732 0.013
100 681 758 0.009
100 705 674 0.012
200 1450 1560 0.025
200 1396 1445 0.02
200 1581 1665 0.024
200 1439 1364 0.023
200 1460 1537 0.018
200 1547 1501 0.018
200 1491 1458 0.018
200 1471 1514 0.019
200 1525 1621 0.022
200 1316 1313 0.017
200 1325 1405 0.017
200 840 829 0.009
200 1641 1637 0.019
200 1369 1316 0.018
200 1509 1537 0.019
200 1444 1473 0.019
200 1559 1653 0.019
200 843 794 0.01
200 1427 1345 0.017
200 1474 1437 0.017
200 1369 1451 0.017
200 1544 1587 0.019
200 1508 1544 0.018
200 1539 1545 0.019
200 1604 1761 0.02
200 1439 1430 0.018
200 1456 1519 0.019
200 1481 1506 0.017
200 816 796 0.01
200 1426 1401 0.018
200 1509 1480 0.018
200 1457 1513 0.018
200 1483 1453 0.018
200 789 849 0.01
200 1560 1643 0.019
200 853 896 0.01
200 1582 1655 0.026
200 1539 1670 0.019
200 1470 1523 0.018
200 1442 1444 0.024
200 1517 1567 0.019
200 1546 1550 0.019
200 1492 1467 0.022
200 850 910 0.011
200 1474 1553 0.018
200 1417 1594 0.018
200 1678 1610 0.02
200 1590 1514 0.026
200 1594 1651 0.023
200 1457 1374 0.018
200 1517 1652 0.019
200 1537 1549 0.022
200 842 940 0.011
200 1546 1671 0.025
200 1436 1651 0.017
200 846 944 0.01
200 1390 1402 0.018
200 1456 1447 0.018
200 1501 1542 0.018
200 824 940 0.011
200 1506 1472 0.018
200 830 857 0.01
200 1495 1631 0.019
