n przestawienia porównania czas
1200 8545 8904 0.111
100 571 594 0.011
100 647 620 0.011
100 612 631 0.012
100 704 733 0.013
100 702 804 0.013
100 635 645 0.013
100 659 637 0.012
100 688 698 0.012
100 646 680 0.011
100 704 698 0.012
100 664 710 0.011
100 690 722 0.011
100 650 711 0.013
100 680 730 0.01
100 632 646 0.01
100 675 749 0.01
100 697 708 0.012
100 712 788 0.012
100 642 722 0.013
100 659 774 0.01
100 682 740 0.012
100 609 686 0.013
100 795 788 0.013
100 717 791 0.012
100 648 647 0.011
100 687 643 0.011
100 658 769 0.01
100 567 535 0.009
100 698 700 0.011
100 736 796 0.012
100 365 341 0.006
100 373 381 0.006
100 594 650 0.01
100 665 733 0.01
100 716 764 0.011
100 673 719 0.011
100 628 637 0.01
100 588 596 0.01
100 651 659 0.01
100 648 626 0.01
100 625 677 0.01
100 694 669 0.011
100 645 649 0.011
100 667 682 0.011
100 600 589 0.01
100 682 754 0.012
100 643 678 0.011
100 654 679 0.012
100 633 601 0.01
100 698 658 0.011
100 653 687 0.011
100 659 699 0.011
100 630 643 0.01
100 610 593 0.009
100 660 626 0.01
100 622 672 0.014
100 685 701 0.012
100 688 743 0.011
100 639 654 0.011
100 580 672 0.01
100 659 691 0.014
100 719 784 0.012
100 692 707 0.011
100 658 689 0.011
100 670 699 0.013
100 585 592 0.01
100 736 733 0.012
100 680 686 0.011
100 329 297 0.006
100 649 675 0.011
100 674 720 0.012
100 649 609 0.01
100 718 807 0.012
100 643 674 0.012
100 713 708 0.011
100 597 642 0.012
100 641 623 0.01
100 665 699 0.012
100 642 662 0.01
100 654 703 0.011
100 659 750 0.014
100 692 722 0.012
100 605 678 0.01
100 623 683 0.01
100 694 718 0.011
100 632 741 0.012
100 655 688 0.011
100 625 641 0.01
100 717 728 0.012
100 711 737 0.01
100 364 403 0.008
100 599 596 0.009
100 707 756 0.012
100 691 772 0.012
100 659 747 0.011
100 640 671 0.011
100 654 719 0.011
100 636 671 0.01
100 664 696 0.011
200 1328 1418 0.021
200 1372 1432 0.021
200 1422 1395 0.029
200 1369 1433 0.019
200 1269 1297 0.018
200 1311 1292 0.019
200 1203 1140 0.016
200 1341 1429 0.02
200 1427 1426 0.024
200 1361 1312 0.019
200 685 646 0.009
200 667 663 0.011
200 1299 1431 0.017
200 1256 1198 0.017
200 1453 1564 0.021
200 1462 1525 0.026
200 1409 1410 0.022
200 752 688 0.01
200 743 807 0.01
200 1398 1400 0.019
200 1218 1188 0.018
200 1362 1326 0.018
200 1219 1261 0.018
200 763 712 0.009
200 1363 1511 0.019
200 1380 1460 0.019
200 1292 1338 0.018
200 1310 1396 0.017
200 1274 1240 0.017
200 1354 1336 0.018
200 1389 1448 0.026
200 1287 1385 0.017
200 1335 1421 0.023
200 1367 1381 0.021
200 1475 1552 0.02
200 1196 1340 0.018
200 1431 1496 0.024
200 1508 1682 0.021
200 1422 1451 0.026
200 1295 1345 0.019
200 1368 1381 0.019
200 1406 1398 0.018
200 1391 1447 0.02
200 1332 1409 0.019
200 1300 1300 0.019
200 1281 1424 0.019
200 1339 1388 0.02
200 1430 1438 0.019
200 760 752 0.012
200 1355 1389 0.02
200 1340 1488 0.019
200 1312 1321 0.018
200 1450 1483 0.02
200 1472 1417 0.019
200 1166 1155 0.017
200 1394 1593 0.021
200 1334 1297 0.017
200 1401 1367 0.018
200 1432 1601 0.021
200 1410 1518 0.021
200 1241 1371 0.019
200 1491 1525 0.022
200 1305 1384 0.018
200 1270 1277 0.018
200 1457 1452 0.02
200 1384 1466 0.02
200 1391 1539 0.022
200 1366 1392 0.018
200 1331 1441 0.02
200 1378 1539 0.025
200 1348 1371 0.018
200 1314 1355 0.022
200 1480 1585 0.021
200 1227 1186 0.017
200 1335 1401 0.019
200 1376 1309 0.018
200 1375 1513 0.019
200 1405 1358 0.02
200 1305 1338 0.017
200 1495 1668 0.02
200 1387 1479 0.02
200 1425 1429 0.019
200 1452 1621 0.021
200 1176 1310 0.017
200 1436 1591 0.02
200 1269 1233 0.019
200 1311 1375 0.019
200 1354 1393 0.019
200 1356 1551 0.018
200 1217 1199 0.017
200 1320 1491 0.027
200 1561 1554 0.021
200 1448 1524 0.022
200 1463 1509 0.019
200 1373 1584 0.021
200 1424 1360 0.018
200 1535 1645 0.02
200 1388 1525 0.02
200 1317 1462 0.019
