n przestawienia porównania czas
1200 8158 9591 0.125
100 613 619 0.018
100 663 754 0.014
100 650 680 0.014
100 660 720 0.014
100 668 752 0.018
100 620 614 0.012
100 647 649 0.011
100 587 581 0.012
100 668 719 0.015
100 577 632 0.011
100 616 635 0.013
100 638 641 0.012
100 552 532 0.01
100 655 644 0.012
100 545 539 0.01
100 616 627 0.012
100 613 596 0.011
100 626 672 0.012
100 576 576 0.01
100 643 704 0.012
100 621 703 0.024
100 602 715 0.012
100 615 659 0.015
100 547 634 0.01
100 699 789 0.014
100 643 708 0.016
100 620 655 0.012
100 597 649 0.011
100 692 746 0.012
100 604 644 0.01
100 645 665 0.012
100 633 655 0.012
100 706 754 0.017
100 594 629 0.011
100 710 715 0.015
100 748 797 0.014
100 672 710 0.012
100 620 628 0.016
100 662 708 0.013
100 589 595 0.01
100 674 725 0.012
100 646 653 0.014
100 604 666 0.011
100 646 688 0.012
100 574 566 0.012
100 565 578 0.01
100 681 788 0.013
100 576 657 0.011
100 635 702 0.012
100 577 619 0.013
100 639 706 0.012
100 660 687 0.012
100 631 703 0.012
100 652 679 0.012
100 646 665 0.012
100 680 762 0.012
100 599 634 0.013
100 569 586 0.01
100 629 688 0.011
100 593 720 0.011
100 624 654 0.012
100 689 755 0.013
100 660 733 0.013
100 656 747 0.013
100 680 751 0.013
100 677 684 0.012
100 665 768 0.013
100 623 749 0.012
100 646 695 0.012
100 555 618 0.012
100 746 829 0.014
100 596 615 0.01
100 577 627 0.015
100 662 700 0.013
100 591 616 0.01
100 562 553 0.01
100 663 775 0.013
100 571 629 0.01
100 568 619 0.012
100 581 566 0.012
100 619 713 0.012
100 612 706 0.015
100 607 592 0.011
100 696 763 0.013
100 668 717 0.013
100 671 720 0.012
100 559 554 0.01
100 640 664 0.012
100 664 733 0.013
100 574 594 0.01
100 690 754 0.014
100 558 598 0.01
100 558 545 0.014
100 603 710 0.011
100 681 697 0.012
100 640 632 0.012
100 537 621 0.01
100 598 650 0.011
100 596 639 0.011
200 1303 1433 0.025
200 1208 1280 0.022
200 1303 1307 0.024
200 1364 1595 0.021
200 1325 1327 0.021
200 1296 1388 0.02
200 1334 1352 0.021
200 1321 1427 0.022
200 1242 1353 0.021
200 1178 1216 0.018
200 1291 1297 0.02
200 1354 1534 0.022
200 1263 1352 0.02
200 1312 1323 0.02
200 1389 1447 0.022
200 1347 1359 0.022
200 1436 1571 0.023
200 1240 1310 0.02
200 1244 1280 0.019
200 1320 1361 0.022
200 1243 1254 0.02
200 1372 1420 0.022
200 1273 1333 0.021
200 1286 1277 0.02
200 1392 1443 0.022
200 1347 1481 0.022
200 1422 1428 0.022
200 1282 1378 0.021
200 1217 1261 0.018
200 1135 1240 0.017
200 1409 1466 0.025
200 1366 1409 0.022
200 1295 1485 0.021
200 1281 1320 0.021
200 1201 1205 0.02
200 1269 1426 0.02
200 1455 1625 0.022
200 1264 1352 0.02
200 1358 1343 0.02
200 1267 1346 0.026
200 1258 1361 0.021
200 1233 1367 0.029
200 1366 1470 0.022
200 1376 1523 0.022
200 1274 1315 0.021
200 1271 1464 0.02
200 1409 1444 0.022
200 1247 1421 0.021
200 1304 1331 0.021
200 1321 1388 0.023
200 1273 1308 0.021
200 1358 1549 0.028
200 1216 1333 0.019
200 1222 1268 0.019
200 1364 1444 0.022
200 1386 1396 0.022
