n przestawienia porównania czas
1200 8079 9506 0.126
100 519 541 0.012
100 565 650 0.014
100 587 624 0.013
100 624 662 0.018
100 569 643 0.014
100 582 573 0.014
100 590 595 0.012
100 561 545 0.012
100 551 568 0.01
100 583 622 0.01
100 514 493 0.01
100 583 598 0.011
100 570 537 0.01
100 579 537 0.012
100 561 581 0.013
100 583 573 0.011
100 610 589 0.011
100 574 631 0.012
100 530 532 0.011
100 547 611 0.01
100 574 663 0.01
100 605 711 0.012
100 606 673 0.012
100 558 645 0.012
100 547 639 0.011
100 550 657 0.012
100 526 519 0.01
100 602 659 0.012
100 582 593 0.01
100 546 540 0.011
100 554 575 0.009
100 567 617 0.011
100 598 625 0.011
100 540 566 0.01
100 584 568 0.011
100 545 603 0.01
100 461 471 0.008
100 606 656 0.012
100 531 538 0.01
100 483 472 0.009
100 520 576 0.009
100 648 643 0.012
100 582 635 0.011
100 514 526 0.012
100 502 490 0.009
100 518 563 0.01
100 542 641 0.01
100 545 608 0.012
100 488 524 0.009
100 548 601 0.011
100 532 543 0.013
100 515 558 0.009
100 555 598 0.011
100 555 566 0.01
100 570 559 0.011
100 580 647 0.011
100 583 600 0.012
100 608 626 0.011
100 630 725 0.01
100 489 541 0.009
100 635 621 0.012
100 570 614 0.011
100 547 565 0.013
100 546 612 0.01
100 573 591 0.01
100 618 600 0.012
100 544 567 0.011
100 561 661 0.011
100 581 675 0.01
100 554 623 0.01
100 571 613 0.01
100 564 618 0.01
100 543 595 0.01
100 578 638 0.01
100 592 627 0.011
100 521 578 0.01
100 591 692 0.011
100 532 582 0.01
100 582 632 0.011
100 648 644 0.012
100 548 662 0.011
100 558 622 0.01
100 526 522 0.009
100 526 556 0.01
100 570 551 0.011
100 543 569 0.01
100 542 568 0.009
100 593 627 0.011
100 559 587 0.009
100 552 596 0.011
100 562 620 0.011
100 567 622 0.014
100 553 546 0.01
100 487 564 0.009
100 611 618 0.01
100 608 595 0.011
100 535 629 0.01
100 586 660 0.011
100 497 538 0.009
200 1321 1454 0.022
200 1299 1326 0.024
200 1121 1188 0.02
200 1214 1450 0.025
200 1194 1171 0.018
200 1251 1330 0.034
200 1174 1187 0.019
200 1179 1337 0.019
200 1190 1217 0.018
200 1129 1175 0.018
200 1197 1223 0.02
200 1276 1397 0.021
200 1262 1263 0.02
200 1284 1397 0.02
200 1160 1211 0.018
200 1221 1271 0.019
200 1188 1306 0.019
200 1212 1296 0.02
200 1352 1418 0.024
200 1250 1288 0.019
200 1367 1493 0.03
200 1150 1252 0.019
200 1248 1286 0.025
200 1281 1250 0.02
200 1278 1280 0.021
200 1248 1377 0.027
200 1285 1364 0.021
200 1179 1277 0.019
200 1083 1018 0.015
200 1090 1175 0.018
200 1155 1211 0.022
200 1102 1100 0.018
200 1246 1390 0.021
200 1189 1165 0.021
200 1167 1247 0.019
200 1255 1415 0.02
200 1223 1328 0.019
200 1216 1329 0.019
200 1196 1221 0.02
200 1251 1344 0.027
200 1211 1211 0.019
200 1261 1327 0.02
200 1210 1305 0.02
200 1239 1383 0.02
200 1207 1209 0.019
200 1182 1397 0.018
200 1235 1320 0.023
200 1259 1346 0.021
200 1209 1245 0.025
200 1186 1257 0.024
200 1177 1136 0.019
200 1229 1358 0.021
200 1145 1206 0.018
200 1193 1223 0.017
200 1208 1195 0.019
200 1215 1228 0.02
200 1106 1190 0.017
200 1211 1286 0.02
200 1112 1232 0.018
200 1130 1117 0.019
200 1019 1041 0.016
200 1255 1347 0.021
200 1218 1271 0.02
200 1279 1240 0.02
200 1357 1400 0.022
200 1188 1366 0.02
200 1276 1298 0.02
200 1117 1189 0.018
200 1251 1308 0.023
200 1202 1131 0.02
200 1268 1364 0.034
200 1198 1233 0.024
200 1308 1456 0.027
200 1218 1400 0.022
200 1244 1362 0.02
200 1264 1314 0.019
200 1305 1299 0.021
200 1161 1202 0.018
200 1332 1490 0.022
200 1210 1251 0.02
200 1203 1198 0.019
200 1176 1193 0.026
200 1254 1331 0.021
200 1234 1340 0.021
200 1248 1302 0.02
200 1308 1356 0.02
200 1245 1343 0.02
200 1139 1119 0.018
200 1189 1403 0.019
200 1167 1276 0.019
200 1280 1283 0.02
200 1245 1322 0.019
200 1294 1448 0.029
200 1057 1209 0.017
200 1305 1374 0.021
200 1244 1253 0.023
200 1313 1392 0.025
200 1185 1244 0.022
200 1147 1316 0.022
200 1233 1302 0.02
300 1790 1998 0.03
300 1698 1701 0.028
300 1766 1773 0.029
300 1988 2090 0.03
300 1884 1960 0.029
300 1653 1842 0.025
300 1711 1721 0.034
300 1828 1873 0.028
300 1958 2125 0.03
300 1694 1695 0.026
300 1935 2212 0.029
300 1949 1992 0.029
300 1825 1930 0.028
300 1961 1983 0.03
300 1830 1902 0.026
300 1799 2085 0.033
300 1855 2082 0.027
300 1769 1927 0.026
300 1760 1842 0.028
300 1772 1806 0.035
300 1932 2137 0.028
300 2014 2214 0.03
300 1658 1750 0.029
300 1921 1958 0.027
300 1885 1926 0.028
300 1851 2167 0.027
300 1987 2043 0.031
300 1790 2034 0.037
300 1799 1954 0.028
300 1877 1949 0.034
300 1636 1794 0.025
300 1862 2036 0.035
300 1931 2182 0.029
300 1881 1970 0.03
300 1786 1893 0.025
300 1978 2015 0.038
300 1817 1990 0.027
300 1958 2046 0.029
300 1848 2157 0.027
300 1863 1957 0.027
300 1679 1852 0.026
300 1902 2129 0.034
300 1875 1802 0.027
300 2020 2189 0.033
300 1930 2164 0.03
300 1705 1948 0.025
300 1783 1974 0.027
300 1888 2068 0.029
300 1950 2131 0.029
300 1881 1911 0.029
300 1853 2058 0.028
300 1773 2052 0.027
300 2081 2085 0.031
300 1869 1835 0.026
300 2028 2211 0.04
300 1861 1987 0.031
300 1846 2114 0.033
300 1828 1831 0.027
300 1866 2046 0.028
300 1875 2017 0.027
300 1921 2191 0.029
300 1973 2157 0.029
300 1794 1720 0.025
300 1696 1752 0.026
300 1593 1729 0.023
300 1874 1801 0.028
300 1847 2017 0.028
300 1932 2119 0.031
300 1983 2103 0.03
300 1961 2180 0.028
300 1901 2159 0.03
300 1915 1897 0.028
300 1907 2037 0.029
300 1879 1895 0.028
300 1969 1905 0.03
300 1815 1915 0.028
300 1845 2026 0.028
300 1935 2173 0.034
300 1815 2027 0.029
300 1791 2000 0.027
300 2036 1957 0.034
300 1895 1998 0.028
300 1956 2055 0.039
300 2011 2066 0.031
300 1947 2093 0.03
300 1859 2040 0.032
300 2078 2294 0.031
300 1793 1943 0.026
300 1927 2218 0.031
300 1809 1846 0.035
300 1791 2026 0.031
300 1958 1966 0.03
300 1857 2074 0.028
300 2005 2227 0.032
300 1703 1896 0.025
300 1791 1927 0.028
300 2085 2105 0.036
300 1827 1846 0.029
300 1795 1850 0.027
300 1988 2190 0.042
400 2297 2295 0.032
400 2339 2471 0.035
400 2471 2720 0.034
400 2552 2807 0.052
400 2662 2753 0.042
400 2270 2578 0.032
400 2667 2928 0.039
400 2648 2764 0.038
400 2620 2710 0.036
400 2419 2481 0.034
400 2477 2436 0.043
400 2467 2499 0.038
400 2583 2752 0.037
400 2648 2624 0.037
400 2686 2728 0.038
400 2675 2679 0.043
400 2544 2914 0.036
400 2533 2580 0.037
400 2570 2532 0.036
400 2374 2387 0.033
400 2593 2833 0.037
400 2593 2867 0.042
400 2652 2829 0.036
400 2281 2259 0.037
400 2390 2572 0.035
400 2675 2661 0.038
400 2543 2461 0.036
400 2603 2584 0.037
400 2527 2609 0.043
400 2496 2975 0.037
400 2575 2953 0.037
400 2416 2756 0.034
400 2586 2637 0.052
400 2581 2983 0.036
400 2379 2549 0.044
400 2590 2879 0.037
400 2552 2950 0.037
400 2540 2679 0.036
400 2592 2731 0.036
400 2389 2351 0.041
400 2579 2588 0.037
400 2636 2881 0.079
400 2657 2621 0.037
400 2227 2561 0.029
400 2653 2995 0.036
400 2535 2926 0.044
400 2561 2811 0.038
400 2472 2829 0.036
400 2594 2694 0.037
400 2509 2610 0.036
400 2472 2738 0.042
400 2479 2515 0.035
400 2512 2645 0.035
400 2649 2746 0.036
400 2457 2913 0.046
400 2465 2442 0.042
400 2637 2814 0.042
400 2695 2824 0.039
400 2552 2506 0.047
400 2596 2827 0.037
400 2576 2604 0.035
400 2246 2357 0.04
400 2581 2663 0.036
400 2590 2688 0.038
400 2515 2730 0.036
400 2600 2917 0.038
400 2523 2989 0.038
400 2510 2695 0.037
400 2343 2750 0.034
400 2621 2880 0.049
400 2546 2779 0.037
400 2480 2516 0.04
400 2525 2526 0.05
400 2403 2278 0.033
400 2742 2975 0.039
400 2542 2664 0.037
400 2435 2800 0.034
400 2375 2355 0.038
400 2591 2846 0.037
400 2551 2813 0.038
400 2586 2737 0.04
400 2347 2460 0.033
400 2393 2570 0.045
400 2701 2801 0.039
400 2684 2771 0.041
400 2443 2460 0.039
400 2577 2648 0.056
400 2502 2577 0.048
400 2653 3000 0.058
400 2516 2580 0.042
400 2533 2903 0.044
400 2353 2196 0.037
400 2522 2751 0.04
400 2545 2718 0.059
400 2224 2324 0.046
400 2554 2838 0.059
400 2595 2914 0.054
400 2695 3077 0.039
400 2593 2601 0.039
400 2627 2906 0.044
500 3345 3326 0.061
500 2926 3280 0.048
500 3235 3552 0.066
500 3339 3834 0.071
500 3294 3804 0.054
500 3170 3310 0.05
500 3343 3527 0.074
500 2982 2839 0.047
500 3196 3464 0.052
500 3007 3209 0.046
500 3105 3070 0.061
500 3357 3507 0.051
500 3452 3717 0.055
500 3418 3800 0.056
500 3224 3191 0.05
500 3212 3495 0.051
500 3042 3252 0.048
500 3277 3340 0.054
500 3536 3650 0.07
500 3422 3602 0.057
500 3048 3042 0.048
500 3262 3455 0.053
500 3276 3294 0.064
500 3134 3237 0.073
500 2821 2805 0.049
500 3040 3304 0.06
500 3298 3328 0.097
500 3390 3576 0.049
500 2997 3620 0.048
500 3331 3664 0.05
500 3049 3063 0.043
500 3127 3690 0.066
500 3137 3135 0.043
500 3347 3398 0.046
500 3187 3760 0.046
500 3310 3606 0.044
500 3221 3581 0.06
500 3208 3188 0.06
500 3111 3507 0.051
500 3456 3855 0.059
500 3300 3258 0.052
500 3256 3505 0.052
500 3463 3807 0.063
500 3280 3447 0.053
500 3167 3267 0.05
500 3380 3487 0.055
500 3165 3461 0.052
500 3187 3542 0.057
500 3236 3607 0.054
500 3299 3538 0.067
500 3303 3427 0.06
500 3308 3539 0.054
500 3257 3443 0.052
500 3341 3262 0.079
500 3321 3356 0.07
500 3416 3837 0.068
500 3250 3341 0.081
500 3308 3634 0.059
500 3401 3453 0.066
500 3233 3797 0.055
500 3304 3338 0.059
500 3097 3481 0.061
500 3438 3622 0.061
500 3334 3361 0.062
500 3328 3400 0.06
500 3339 3551 0.06
500 3190 3201 0.043
500 3415 3679 0.05
500 3171 3487 0.05
500 3218 3607 0.049
500 3318 3408 0.045
500 3143 3512 0.046
500 3207 3623 0.046
500 3355 3683 0.048
500 3154 3234 0.046
500 3262 3207 0.045
500 3203 3672 0.046
500 3259 3513 0.06
500 3225 3606 0.065
500 3116 3653 0.055
500 3113 3631 0.05
500 2985 3042 0.045
500 3236 3897 0.06
500 3284 3670 0.057
500 3369 3935 0.072
500 3125 3343 0.063
500 3220 3411 0.07
500 3371 3671 0.076
500 3228 3132 0.07
500 3011 3046 0.061
500 3229 3436 0.066
500 3341 3351 0.074
