n przestawienia porównania czas
1200 9354 10942 0.209
100 693 880 0.023
100 758 904 0.02
100 737 884 0.02
100 665 770 0.017
100 725 896 0.018
100 636 677 0.015
100 573 628 0.013
100 703 802 0.016
100 587 745 0.013
100 637 677 0.014
100 641 722 0.015
100 679 746 0.015
100 744 821 0.017
100 644 775 0.014
100 734 897 0.017
100 637 727 0.014
100 575 705 0.012
100 637 742 0.015
100 653 729 0.015
100 658 745 0.015
100 703 889 0.016
100 715 896 0.016
100 682 771 0.016
100 699 820 0.018
100 704 833 0.018
100 638 707 0.014
100 625 721 0.013
100 650 730 0.015
100 599 663 0.013
100 645 803 0.014
100 669 720 0.015
100 602 632 0.016
100 697 763 0.017
100 724 874 0.016
100 700 821 0.015
100 587 652 0.012
100 659 756 0.015
100 609 661 0.013
100 529 604 0.012
100 663 749 0.019
100 651 751 0.014
100 583 586 0.014
100 683 818 0.017
100 671 751 0.015
100 586 720 0.014
100 571 654 0.013
100 708 779 0.016
100 633 726 0.015
100 589 591 0.013
100 681 817 0.016
100 667 803 0.016
100 686 831 0.015
100 609 722 0.014
100 704 769 0.016
100 718 815 0.016
100 657 780 0.019
100 566 628 0.013
100 713 825 0.016
100 652 732 0.014
100 620 669 0.014
100 549 653 0.021
100 710 760 0.017
100 541 618 0.011
100 623 727 0.016
100 689 816 0.017
100 629 732 0.015
100 546 610 0.013
100 726 855 0.017
100 729 794 0.016
100 579 690 0.014
100 688 814 0.015
100 617 708 0.016
100 670 763 0.017
100 755 869 0.017
100 678 753 0.016
100 596 639 0.013
100 683 751 0.014
100 645 635 0.015
100 711 825 0.017
100 682 771 0.015
100 659 782 0.015
100 627 816 0.014
100 576 606 0.012
100 673 810 0.015
100 652 730 0.016
100 599 731 0.014
100 670 777 0.015
100 590 617 0.013
100 631 796 0.014
100 614 681 0.014
100 685 813 0.019
100 694 801 0.015
100 723 803 0.017
100 675 803 0.015
100 675 759 0.015
100 704 814 0.016
100 625 728 0.016
100 692 829 0.015
100 597 660 0.013
200 1379 1624 0.028
200 1476 1616 0.07
200 1460 1767 0.036
200 1317 1632 0.028
200 1450 1727 0.034
200 1459 1744 0.029
200 1397 1497 0.027
200 1271 1304 0.025
200 1434 1647 0.027
200 1288 1471 0.026
200 1398 1804 0.027
200 1443 1664 0.029
200 1294 1497 0.026
200 1117 1336 0.02
200 1458 1556 0.029
200 1116 1304 0.021
200 1343 1516 0.027
200 1369 1551 0.027
200 1415 1666 0.027
200 1539 1788 0.031
200 1505 1683 0.028
200 1438 1686 0.028
200 1295 1471 0.03
200 1169 1332 0.022
200 1492 1739 0.03
200 1380 1641 0.036
200 1359 1566 0.025
200 1429 1664 0.029
200 1094 1183 0.021
200 1452 1623 0.031
200 1535 1786 0.036
200 1413 1699 0.031
200 1490 1679 0.03
200 1451 1723 0.027
200 1359 1547 0.027
200 1087 1390 0.022
200 1404 1566 0.027
200 1404 1648 0.028
200 1454 1577 0.027
